Nombre del autor|Traducción|Título del libro|Lugar de edicion|Editorial -les|Año|Páginas|Formato|Colección/Tema|Edición|Tomo|Colección|Imprenta|Palabras Clave|Referencias|
||Segundo informe de la gestión gubernativa del C. Lic. Jesús Castillo López, Gobernador Constitucional del Estado de Morelos 1943-1944|Morelos||1944|117|6x9 pulg|Historia de Morelos|||||Gobernación, legislativa, hacienda, agrícultura, alcoholes, economía, obras, públicas, comunicaciones, educación, asistencia, salubridad, comisión, cociliación, arbitraje, ministerio, policía, penitenciaria, seguridad, defensoría, tránsito, tribunal, justicia, industrias, molinos, ingenios |Informe correspondiente a los trabajos realizados en el segundo año de nuestra gestión gubernativa 1943-1944|
||Reglamento de transito del Estado de Morelos|Morelos||1964|76|6x4 pulg|Historia de Morelos|||||Ley, tránsito, transportes, Morelos, reglamento, servicio, público, edictos, tarifa, multas, automoviles, señales|Ley de tránsito y de los transportes en el Estado de Morelos|
||Francisco Modesto de Olaguibel|Toluca|FONAPAS||53|4x5.5 pulg|Historia de Morelos|||Nezahualcoyotl||Biografías, personajes, histórico, conservadores, constitución, gobernador|Biografías de grandes personajes|
||Ley de Hacienda Municipal|Cuernavaca|Gobierno del Estado Libre y Soberano de Morelos|1936|28|6x8 pulg|Historia de Morelos||||La comerial|Impuestos, derechos, productos, participaciones, aprovechamientos, disposiciones, recaudación, comercio, ambulante, diversiones, espectaculos, urbanización, aguas, drenajes, mercados, plazas, registro, comercial, industrial, infracciones |Ley de hacienda municipal|
||Ley organica de los tribunales del Estado de Morelos|Cuernavaca|L.G. Miranda|1881|27|5.5x8 pulg|Historia de Morelos||||Imprenta del Gobierno del Estado|Ley, tribunales, jueces, decreto, instancia, justicia, ministerio, funcionarios, judicial, orden, alcaides, transitorios|Ley orgánica de los tribunales del Estado de Morelos|
||1870 Constitución politica del Estado libre y soberano de Morelos|Cuernavaca|L.G. Miranda|1876|55|6x9 pulg|Historia de Morelos||||Imprenta del Gobierno  |Constitución, politíca, derechos, obligaciones, poderes, públicos, legislativo, congreso, facultades, diputación, gobernador, jueces, instancia, funcionarios, reformas, hacienda, pública|1870 Constitución politica del Estado libre y soberano de Morelos|
||1812-1967 Las calles de Cuautla|Cuautla||1967|15|5.5x7.5 pulg|Historia de Morelos|||||Cuautla, heróica, sitio, calle, callejón, plaza, localización, plano|Según datos de Felipe Benicio Montero, testigo presencial de la gesta heroica del Sitio de Cuautla.|
||Bando de policia y buen gobierno del H. Ayuntamiento de Jojutla de Juárez, Estado de Morelos|México||1957|43|5.5x8 pulg|Historia de Morelos||||Ocampo|Policía, Jojutla, gobierno, división, autoridades, gobernación, seguridad, hacienda, educación, salubridad, rastro, obras, comercio, espectáculos, aguas, transitorios|El municipio de Jojutla de Juárez del Estado de Morelos, está constituido por la cabecera del mismo nombre, la que se haya dividida en 43 manzanas.|
||Ideas generales sobre el cultivo de la caña de azúcar en el Estado de Morelos |México||1885|34|6x9 pulg|Historia de Morelos||||Oficina Tip. De la Secretaría de fomento|Cultivo, caña, azúcar, fincas, ingenios, haciendas, campo, surco, barbechos|Cuernavaca, yautepec, morelos, tetecala y jonacatepec son los cinco distritos que forman este estado y en todos ellos se cultiva la caña de azúcar, en las temperaturas templada y caliente.|
||Tepoztlán lugar donde abunda el cobre|Tepoztlán||1986||6.5x9 pulg|Historia de Morelos||||Oficina Tip. De la Secretaría de fomento|Tepoztlán, cobre, geografíca, política, pobladores, organización, social, económica, revolucionario, independencia, tradiciones, festividades, danzas, leyendas, matrimonios, religión, idioma, tepoztecatl |Monografía del Municipio de Tepoztlán Morelos, proyecto especial de educación para el desarrollo de poblaciones que habitan en áreas rurales y urbanas marginadas  |
||La Secretaría de agrícultura y fomento y el contrato para refaccionar a los agricultores del Estado de Morelos restableciendo la industria azucarera|México||1925|13|6.5x9 pulg|Historia de Morelos||||Imprenta de la Dirección de estudios geográficos y climatológicos |Agricultura, industria, azucarera, ingenios, cooperativa, fomento|Para que los campesinos y el pueblo todo del Estado de Morelos, puedan conocer ampliamente las condiciones y fundamentos de la autorización dada para refaccionar a los agricultores del mismo Estado y restablecer la industria azucarera|
||Dos escritos dirigidos a las autoridades por los hacendados de Morelos|México||1921|52|6.5x9 pulg|Historia de Morelos||||Antigua imprenta de Murgia|Hacendados, rayas, agricultura, fomento, cultivo, azúcar|El 28 de septiembre de 1920 dirigieron los señores hacendados del Estado de Morelos, al señor secretario de agricultura y fomento, el primer escrito de este folleto.|
