Nombre del autor|Traducción|Título del libro|Lugar de edicion|Editorial -les|Año|Páginas|Formato|Colección/Tema|Edición|Tomo|Colección|Imprenta|Palabras Clave|Referencias|
Aragón B. Eliseo||Toponimias en lengua Náhuatl del Estado de Morelos|México|Eliseo Aragón Rebolledo / Octavio Novaro|1969|102|6.5x9 pulg|Historia de Morelos|Primera|||Editorial Herrera|Toponimias, nahuatl, lengua, jeroglíficos, prehispánicos, códices|La presente obra responde al propósito de facilitar, por medio de la explicaciòn etimológica de los nombres inígenas, el conocimiento de las características que son propias de diversas poblaciones y lugares de la entidad morelense.|
Arenas Francisco Javier||Mariano Matamoros Brazo derecho del heroismo|México|Editorial AUM|1974|48|5x8 pulg|Historia de Morelos|Primera|||Publicidad Editora|Heroismo, insurgente, epopeya, generalísimo, Jantetelco|Don Mariano Matamoros, el gran insurgente, se forma en esa injusta paz insoportable de casi trescientos años de edad media colonial, en esta Nueva España.|
Besso Humberto-González Oberto||Tepozteco guía oficial|México|Instituto Nacional de Antropología e Historia|1980|51|5x7.5 pulg|Historia de Morelos||||Instituto Nacional de Antropología e Historia|Localización, antecedentes, mitología, jeroglífica, épocas, prehispánica, Tepoztecatl|En este poblado perteneciente al Estado de Morelos, ademas de sus exitantes escenarios, cuenta con una zona arqueológica de inigualable particularidad en lo alto del cerro Ehecatepetl y un viejo convento dominicano del siglo XVI. |
Blasio José Luis||Maximiliano Íntimo |México|Librería de la Vda de C. Bouret|1905|478|7.5x5.5 pulg|Historia de Morelos||I|||Maximiliano, emperador, memorias, hacienda, puebla, chapultepec, pachuca, decreto, carlota, cuernavaca, emperatriz, veracruz, puebla, queretaro, general, coronel|El emperador Maximiliano y su corte Memorias de un secretario particular|
Casarrubias Vicente C.||Huaxtepec Colonia de recreación juvenil|México|Ricardo Cortés Tamayo|1961|37|6.5x9 pulg|Historia de Morelos||||Impresora Galve, S.A.|Ubicación, colonia, concurrencia, patronatos, templo, convento, pintura |La villa de Huaxtepec en el Estado de Morelos asiento de uno de los señorìos tlahuicas en pretèritos tiempos es uno de los sitios más bellos de esa heroica entidad|
Castañeda L. Gualberto||El Estado de Morelos geografía escolar y de información|Cuernavaca|UAEM|1969|124|6.5x8.5 pulg|Historia de Morelos||||Talleres gráficos de la Universidad Autónoma del Estado de Morelos|Geografía, clima, orografía, geología, hidrografía, producción, población, aducación, comunicaciones, gobierno|Geografía escolar y de información del Estado de Morelos|
Castañeda Linares Gualberto||Estudio geográfico del municipio de Cuernavaca Morelos|Cuernavaca||1959|87|6x8.5 pulg|Historia de Morelos||||Imprenta universitaria|Localización, limites, extensión, antecedentes, conquista, colonial, independencia, revolución, geológico, morfológica, edafológica, clima, hidrografía, vegetación, población, agricultura, ganadería, industria, turismo, comercio, gobierno, educación, comunicaciones  |La división territorial fue ajustandose muy lentamente durante la época colonial en función de necesidades económico-politicas y de esta suerte el Estado de Morelos no se conocía como tal a mediados del siglo pasado.|
Chavez Orozco Luis||El sitio de Cuautla|México|Costa Amic |1962|170|5.5x7.5 pulg|Historia de Morelos|Segunda|||Costa Amic |Sitio, Cuautla, general, cuartel, escuadrones, batallón, infantería, plaza, hacienda, guerrillas, caballería|En la historia de las luchas del pueblo mexicano por conquistar su Independencia, el Sitio de Cuautla constituye uno de los capítulos más brillantes, es en este libro bien documentado, donde con mayores detalles, en forma ágil y evocación fervorosa, se describen los episodios de tan admirable hecho de armas.|
Chavez Orozco Luis||El sitio de Cuautla suplemento literario encuadernable escrito especialmente para resumen||||200|5.5x7.5 pulg|Historia de Morelos||||||La epopeya de la Guerra de Independencia|
Davila José María||Yo también fui revolucionario|Rio de Janeiro|Irmaos pongetti editores||241|5x7.5 pulg|Historia de Morelos|||||Revolucionario, guerra, zapata, plagio, fuga|Relato semiverídico e inverecundo|
De la Parra Gonzalo||De como se hizo revolvcionario vn hombre de bvena Fe|México||1915|195|6x8 pulg|Historia de Morelos|||||Epitafio, duque, filiación, politica, máquina, Villa, coroneles, barbarie, justicia, triunfo, magistrados, jueces, libertad, zapatistas, feudal, reaccionarios, Carranza|Este no es un libro.Este es un volumen en el cual unos cuantos artículos míos trazan a pesar de las vastas lagunas y de los luengos paréntesis de silencio la linea, la órbita, la ruta seguida por el pensamiento de un muchacho sincero a través de los hombres y los acontecimientos.|
De María y Campos Armando ||Matamoros Teniente General Insurgente|México|Editorial Jus, S.A.|1964|136|6.5x9 pulg|Historia de Morelos|Primera||México Heroico|Talleres de la Editorial Jus, S.A.|Emperador, caudillos, Independencia, monumento, Matamoros, Morelos, Izúcar, insurgentes, cuartel, fortín, Bustamante, batalla, realistas, proceso, exhumación|Biografía de Mariano Matamoros, teniente y general insurgente|
De Paul San Vicente||Decima carta pastoral del Ilmo. Y Rmo. Sr. Obispo de Cuernavaca,  referente a las asociaciones de caridad de San Vicente de Paul en la diócesi|Cuernavaca||1897|6|6x8 pulg|Historia de Morelos||||Luis G. Miranda|Carta, pastoral, obispo, caridad, diocesi, episcopal|Asociaciones de caridad|
Diez Domingo||Bosquejo histórico geográfico de Morelos|Cuernavaca, Mor.|Editorial Tlahuica|1967|188||Historia de Morelos|Segunda|||Imprenta Tlahuica|Geografía, Morelos, orografía, límites, territoriales, hidrografìa, climas, agricultura, carreteras, ferrocarriles, población, historia, gobierno, creación|Estudios históricos y bibliográficos sobre el Estado de Morelos |
Díez Domingo||El cultivo e industria de la caña de azucar|México||1919|137|6.5x9 pulg|Historia de Morelos||||Victoria|Azucar, cultivo, caña, azucarera, botanicas, agrícolas, climatéricas, aguas, abanamientos, Puente de Ixtla, Amacuzac, Tlaltenango, Abonos, Cañavereros, Campos, Fertilidad, Surcada, Riegos, Mieles, Alcoholes, Patología, Riego, Enfermedades, Industria, Terrenos, Lluvias, Drenaje, Puebla, Caldera, Herramienta, Zacatepec, Exportaciones, Mascabado |El cultivo extensivo de la caña de azúcar y el notable desarrollo de la industria azucarera|
Diez Domingo ||Bibliografía del Estado de Morelos|México|Secretaría de Relaciones exteriores|1933|427|6x7.5 pulg|Historia de Morelos||||Imprenta de la Secretaría de Relaciones exteriores|Crónicas, monografías, almanaques, albunes, periódicos, manuscritos, ciencias, arqueología, geografía, estadística, agricultura, industria, comercio, leyes, decretos, reglamentos, memorias, informes, sociales, artes, archivo|Bosquejo geográfico e histórico del Estado de Morelos|
Dromundo Baltasar||Quince años de Emiliano Zapata 1919-1934|México|Publicaciones de la Dirección General de Acción Cívica del Departamento del Distrito Federal |1934|10|6.5x8.5 pulg|Historia de Morelos|||||Zapata, Revolución, Ayala, Tierras, libertad, caudillo|Hoy, a los quice años de su muerte que dejó un hueco insustituible entre las filas revolucionarias de los indios, comprendemos todos los que hemos crecido en su devoción, que era Zapata, nuestro grande, nuestro íntegro General Zapata.|
Dubernard Chauveau Juan||Apuntes para la historia de Tepoztán|Cuernavaca||1983|162|8.5x6 pulg|Historia de Morelos||||Talleres gráficos de impresores de Morelos S.A. |Tepoztlán, orígen, moradores, tepoztecalli, calamatlan, dioses, pulque, tepoztecatl, cultural, barrios, convento, teopanco, grutas, colonial|En el ambiente natural extraordinario de un valle, cerros, rocas y exhuberante vegetación, lugar donde han florecido y perduran varias formas de cultura, es donde se yergue Tepoztlán.|
Estrada Cajigal Adriana||Tlayacapan|Cuernavaca||1986|40|6x8 pulg|Historia de Morelos||||Talleres gráficos de impresores de Morelos S.A. |Habitantes, capillas, barrios, convento, iglesia, colonial, edificios, independiente, municipio, minería, agricultura, ganadería, fiestas, exposiciones|Tlayacapan es un lugar de clima y ubicación privilegiados, el pueblo se encuentra situado en la entrada del paso más fácil desde el sur, al valle de México sobre la cordillera del Ajusco, cuenta con algunos manantiales, estaba cerca del bosque y tiene tierra laborable, por lo tanto esta región estuvo poblada desde tiempos prehistóricos.|
Estrada Pedro||Nociones estadísticas del Estado de Morelos|Cuernavaca|Horizonte|1887|108|5.5x7.5 pulg|Historia de Morelos||||Aurelio Flores|Ereccion, situación, limites, geográficos, orográfico, hidrográfico, clima, producciones, mineral, agrícultura, plantas, pecuaria, ganado, gobierno, administración, idiomas, poblaciones, monumentos, carreteras, oficinas, comunicación, municipios, histórica|El Estado de Morelos se erigió por decreto de 16 de abril de 1869 expedido por el congreso de la Unión, formándose de la porcion de territorio que se conocia por el 3er Distrito militar del antiguo Estado de México, y creado por decreto de 7 de junio de 1862.|
Gómez de Orozco Federico||El convento Franciscano de Cuernavaca|México|Centro de Estudios Franciscanos|1943|98|6.5x9 pulg|Historia de Morelos||||Centro de Estudios Historicos Franciscanos|Convento, franciscanos, conquista, evangelización, iglesia, asunción, seráfica|Monografía Historica del Convento e Iglesia Franciscanos de Cuernavaca|
González Pablo||Zapata reaccionario y traidor|Saltillo, Coahuila|Cultura Historiográfica |1974|229|4.5x6.5 pulg|Historia de Morelos||||"Talleres Gráficos de editorial ""Alfonso Reyes"""|Revolucionario, constitucionales, agrarios, régimen, constitución, Madero, Revolución, porfirismo, democracia, latifundistas, magnicidios, testimonios, averiguación, plan, demagogia, fraude, chinameca|Es un libro para desengañar a los 20 millones de campesinos de los 23,000 ejidosa de la Republica Mexicana y a media humanidad víctima del colosal engaño en el resto del orbe. Con 26 documentos facsimilares históricos probatorios de sus imperdonables nexos con la reacción, con los latifundistas, con las compañías petroleras extranjeras y con la Casa Blanca de Washington.|
Guzmán Vereo||La inquietud de la hora |Cuernavaca||1934|76|6x7.5 pulg|Historia de Morelos|Segunda|||Impresores morelenses|Inquietud, sentidos, versos, vida, locura, dulce, semblanza, alma, milagro|Versos que saben de la vida, sentidos y trazados por vereo guzmán|
Gvzman vereo||La montaña que canta |Cuernavaca||1934|77|5.5x8 pulg|Historia de Morelos||||Impresores morelenses|Pórtico, Cuernavaca, catedral, Tepetates, Borda, Antón, Chapultepec, Teopanzolco, palacio, Cortés, exultación|Poemas, visiones subjetivas de Cuernavaca|
Jiménez B Sergio||Aquel cristo mexica|México|Agustín Pérez León|1948|127|7x9 pulg|Historia de Morelos||||Talleres gráficos de la Nación |Cristo, mexica, xoxocotla, milagroso, fiesta, ascensión, ofrendas, danza, música, cerro, poza, cruces, callejón, eclipse, jehuite, pantitlan, boda, santo, parroco, soldadera|Obra literaria sobre la verdad histórica, joya de la literatura morelense.|
Jiménez B. Sergio||INDO LEYENDAS|México|Enrique F. Reyes / Agustín Pérez León|1950|121|6.5x9 pulg|Historia de Morelos||||Talleres gráficos de Manuel Casas|Mexica, Cortes, Xoxocotla, dioses, universidad, huitlacoches, santo, volcán, misterio, leyenda, poza, tamoanchan, revolucionario, hacienda, Cardenas|"Novela, obra literaria en la que podremos leer datos como el siguiente: El significado de la palabra Xoxocotla es en náhuatl: ""Lugar de ciruelos agrios""; este nombre lo justifica la riqueza variada de su sabrosa ciruela, única en el Estado."|
Jiménez Benítez Sergio ||Azucar amarga|México|Sergio Mejías Rosas / Ezequiel Contreras Jiménez|1982|236|5.5x7 pulg|Historia de Morelos|Primera|||"Talleres de impresora ""saber"""|Prisión, concientización, obrera, conciencia, feudo, coronación, pipila, Cardenas, demagogia, revolucionario, indigenas, represión|Novela de denuncia, obra literaria, denuncia con valentia la injusticia social imperante.|
List Arzubide||Emiliano Zapata  (Exaltación)|México|Conferencia|1965|86|5.5x7.5 pulg|Historia de Morelos|Sexta|||Radio Impresora Mexicana, S de R.L.|Zapata, caudillo, Revolución, campesinos, latifundistas, indios, crímenes, Anenecuilco, rebeldia, zapatistas, cuartel, Tlaltizapan, haciendas, ejidos|Discursos y estatuas, las frases rimbombantes y los homenajes ruidosos, se cumplan el programa de Emiliano Zapata reducido a dos palabras nada más, pero que son las que el indio espera también: TIERRA Y LIBERTAD|
List Arzubide Germán||El Movimiento estridentista|Jalapa, Ver.|Horizonte|1926|106|5.5x7.5 pulg|Historia de Morelos||||Francisco Mora / Emilio Colon|Poeta, estridentista, Revolución, obreros|Cuando se charla con List Arzubide, hay el peligro de que, algo de nuestra tristeza o de nuestra alegría, naufrague en el abismo de su carcajada.|
List ArzubideGerman||Zapata Exaltacion (Segunda edición)|México|Publicaciones del departamento de bibliotecas de la secretaria de educacion publica|1936|47|4.5x6.5 pulg|Historia de Morelos|Segunda|Cinco|Biblioteca del Obrero y Campesino |Talleres gráficos de la Nación |Zapata, revolución, historia, campesinos, México, Emiliano, caudillo, rebeldia, Díaz, Carranza, traición, lucha|El 10 de abril de 1919, quedará en la historia de nuestra Revolución como un dolor para los campesinos y un remordimiento para los que nos llamamos en México conscientes.|
López Beltran Lauro||El templo de los prodigios|Cuernavaca |Juan Diego|1950|79|5.5x7.5 pulg|Historia de Morelos|||||Prodigioso, capilla, franciscana, cronógrafo, catalina, cronista, aprestos, profanos, medianeros, misioneros, flagelación, espiritual, somera, seminario, sacerdotes|Monografía historica del templo de la tarcera orden de San Francisco en Cuernavaca|
López Beltran Lauro||Morelos guadalupano|Cuernavaca|Juan Diego|1950|108|5.5x7.5 pulg|Historia de Morelos|Segunda||||Seminarista, guadalupano, monumento, santuario, Maximiliano, monseñor, revolución, suriana, homenajes, retablo, virgen, coronación, peregrinos|Recuerdo de la peregrinación guadalupana del Estado de Morelos a la Insigne y nacional Basílica de Santa María de Guadalupe.|
López Beltrán Lauro||Fray Antonio de Roa Taumaturgo Penitente|México||1969|140|6.5x9 pulg|Historia de Morelos|Segunda||México Heroico|Talleres de la Editorial Jus, S.A.|Obispo, cronista, parroquiales, vicario, canónigo, sacerdocio, agustiniana, convento, sacerdotal, franciscanos, dominicos, evangelista|Portentosa vida del venerable padre Fray Antonio Roa, de la meritísima Orden de San Agustín.|
López Beltrán Lauro||La virgen de tlaltenango||Tradición||95|5x7.5 pulg|Historia de Morelos|Segunda||||Fundación, templo, oratorio, ingenio, cortesiano, litigio, ruinas, hotelería, convento, cronógrafo, culto, santuario, fiestas, ferias, devotos, catedral, homenajes, imploración|La Virgen de los Milagros se ha venido venerando por los fieles de Tlaltenango y de otros lugares desde hace más de 200 años. Ellos organizan cada año una rumbosa feria popular como celebración del día ocho de septiembre, en que se conmemora el nacimiento de la Virgen.|
López González Valentín||Calendario de ferias del estado de Morelos|Cuernavaca, Mor.|Universidad de Morelos|1957|18|4x5 pulg|Historia de Morelos||||Imprenta universitaria|Calendario, ferias, Morelos, carnaval, santo, candelaria, cuaresma, festividad|Calendario de ferias de Morelos|
López González Valentín||Biblioteca central universitaria Miguel Salinas|Cuernavaca|Universidad de Morelos|1963|23|6x9 pulg|Historia de Morelos|||||Fundación, teatro, inauguración, pintura, mural, música, biblioteca|"Breves apuntes históricos 1886-1961 Biblioteca Central Universitaria ""Miguel Salinas"""|
López González Valentín||El palacio de cortes en Cuernavaca|Cuernavaca||1958|94|6.5x8.5 pulg|Historia de Morelos||||Imprenta universitaria|Epoca, colonial, independiente, revolucionaria, contemporánea, murales, escenográficas, Maximiliano, palacio, cortes|Monografía del Palacio de Cortés que hoy se da a conocer por medio del Centro de Estudios Históricos de la Universidad de Morelos, a tráves de sus monografías morelenses.|
Logan S. Walter||The siege of Cuautla|||1893|27||Historia de Morelos|||||Cuautla, historical, society, bunker, story, mexican, revolution, independence, colonies|The time has come for independence. In the nature of things the colonies on this side of the ocean cannot remain forever connected with their mother countries. A revolution is inevitable in Mexico as in the United States.|
Marques de San Francisco||Los jardínes de la Nueva España Uno|México||1919|75||Historia de Morelos||||Franco Mexicana|Monografías, artísticas, jardines, España, palacios, urbanos, huertas, monásticos, convento, monasterios, escalinatas, estanque, cenador, colonial, fuente, pensil, patio, casa   |Muy inferiores a los palacios urbanos fueron las casas de campo de la Nueva España. Situadas en San Cosme o la Tlaxpana; en los pueblos cercanos a la capital, o en las ciudades de provincias; estas casas de placer como se les llamaba en las primeras épocas del virreinato. |
Manzanilla Schaffer Victor||El plan de Ayala a cincuenta años de distancia|México||1962|15|6.5x9 pulg|Historia de Morelos|Primera|||Libros de México, S.A.|Revolución, Constitución, agraria, reforma|Hablar del Plan de Ayala, es referirse a Emiliano Zapata, a la Reforma Agraria y a la Revolución Mexicana de 1910|
Martínez Marín Carlos||Tetela del Volcán su história y su convento|México|Universidad Nacional Autónoma de México|1968|229|6.5x9 pulg|Historia de Morelos|Primera|||Imprenta universitaria|Tetela, historia, cultura, evangelización, fundación, monástica, pinturas, murales, dominicos, convento, volcán|Historia prehispánica y colonial de Tetela del Volcán|
Mazari Manuel||Bosquejo Histórico del Estado de Morelos 1930|México||1966|233|10.5x8.5 pulg|Historia de Morelos||Único|||Hacienda, mapa, piramide, chicomoztoc, señorios,códice, arqueología, historia, Etnografía, tepozteco, tributos, comarca, escudo, iglesia, convento, claustro, facsimile, mausoleo|Podría ser util para aquellos que se inicien en la historia del Estado de Morelos, sobre todo por la descripción personal de hechos ocurridos durante la Revolución|
Mazari Puerto Manuel||Bosquejo Histórico del Estado de Morelos |Cuernavaca, Morelos||1986|233|10.5x8 pulg|Historia de Morelos||Único|||Agraria, agricultura, agronomos, códice, revolución,  |Edición conmemorativa del Centenario de la Biblioteca Profr. Miguel Salinas 1986|
Melgarejo Antonio D.||Los crímenes del zapatismo|México|F.P. Rojas y Cia|1613|168|6.5x9 pulg|Historia de Morelos||Único||Antonio Enriquez|Zapatismo, Pablo torres burgo, Ayala, rebelión, tropelías, tepepa, tlaquiltenango, revolución, escandon, jojutla, yautepec, jonacatepec, cuautla, madero, genovevo, ticumán, amador zalazar|Origen del zapatismo.Las memorias de un guerrillero tienen el mérito de la depuración de la verdad. El señor Melgarejo ha rectificado las alteraciones de la prensa y corregido sus deficiencias y mutilaciones|
Melgarejo Antonio D.||Los crímenes del zapatismo|México|F.P. Rojas y Cia|1913|168|6.5x9 pulg|Historia de Morelos||Único||Antonio Enriquez|Zapatismo, Pablo torres burgo, Ayala, rebelión, tropelías, tepepa, tlaquiltenango, revolución, escandon, jojutla, yautepec, jonacatepec, cuautla, madero, genovevo, ticumán, amador zalazar|Origen del zapatismo.Las memorias de un guerrillero tienen el mérito de la depuración de la verdad. El señor Melgarejo ha rectificado las alteraciones de la prensa y corregido sus deficiencias y mutilaciones|
Minos D. Agapito Mateo||Apuntaciones Históricas de Xoxutla a Tlaquiltenango|México||2007|190|8.5x6.5 pulg|Historia de Morelos||Único|Cocinando Letras|Pimpo|Jojutla, Tlaquiltenango, Nahualco, Zacatepec, presbítero, onomástico, señor de Tula, Panchimalco, Tequesquitengo, Tlatenchi, Tetecalita|En 1987 el arquitecto Raúl Melendez Betancourt (expresidente municipal de jojutla y con apoyo del gobierno del estado, el Patronato de la Feria de Jojutla publicó una edición facsimilar|
Monterde Francisco||El temor de Hernán Cortés|México||1943|338|6x8 pulg|Historia de Morelos|Primera|||Imprenta Universitaria|Temor, Hernán, Cortés, platero, tertulia, España, indígena, corpus, hazaña, convento, forastero|El temor de Hernán Cortés digno de ser tildado libro literario.|
Plancarte y Navarrete Francisco||Apuntes para la geografía del Estado de Morelos|Tepoztlán||1909|106|5.5x8 pulg|Historia de Morelos||||Imprenta de José Donaciano Rojas|Geografía, historia, división, territorial, política, diocesis, eclesiastica, límites, |Posición geográfica, dimensiones, limites y aspecto físico del Estado de Morelos.|
Plancarte y Navarrete Francisco||Apuntes para la geografía del Estado de Morelos|Cuernavaca||1914|110|5.5x8 pulg|Historia de Morelos|Segunda|||Imprenta de José Donaciano Rojas|Geografía, historia, división, territorial, política, diocesis, eclesiastica, límites, historia, población, industria, comercio, hacienda, poblaciones |Posición geográfica, dimensiones, limites y aspecto físico del Estado de Morelos.|
Plancarte y Navarrrete Francisco||Tamoanchan |México|El escritorio|1934|193|7x9 pulg|Historia de Morelos|||||Hallazgos, arqueológicos, tradición, peregrinación, Tamoanchan, confederación, nauas, tula, metzcas, tultecas, chalmecas, nonoalcas, otomíes, zapotecos, mixtecos, ulmecas, xicalancas, kukulcán, mixcóatl, huèmac, zamná, huastecos, totonacos, michuaques, matlaltzincas|El Estado de Morelos y el principio de la civilización en México|
Popoca y Palacios Lamberto||Historia del bandalismo en el Estado de Morelos |Puebla||1912|99|6.5x8.5 pulg|Historia de Morelos|||||Plateados, bandidos, zapatistas, Salome, sátiros, guerra, charros, catrines, Mapaxtlán, raptor, luigi, vampa, plagiado, comercio, Francia, soldados, emboscadas, adulterio, coronel, Rafael, jefes |"Obra interesante, de actualidad; escrita con datos verídicos de un testigo ocular de muchos de aquellos episodios; superviviente de aquella época, quien conoció personalmente á todos los famosos jefes de ""Los plateados"", y que fue uno de sus perseguidores."|
R. Gómez Marte||Las Comisiones Agrarias del Sur|México |Librería de Manuel Porrua, S.A.|1961|198|Oficio |Historia de Morelos||Único||España|Agraria, agricultura, agronomos, códice, revolución,  ||
Reyes Avilés Carlos||Cartones Zapatistas|México||1928|68|5.5x8.5 pulg|Historia de Morelos|||||Zapatismo, Pablo torres burgos, Emiliano Zapata, Felipe Neri, Amador Salazar, Marciano Silva, Plan de  Ayala, caudillo, obregonista, revolución|Homenaje nacional a los principales hombres del zapatismo|
Reyes Valerio Constantino||Tepalcingo|México|Jorge Gurría Lacroix|1960|107|6.5x9 pulg|Historia de Morelos||||Talleres de Edimex, S. de R.L.|Historia, iconografía, imafronte, santuario, templo, arte, cristiano, calvario|Tepalcingo poblado que data de la época prehispánica y en el cual se habla el Nahuatl y Otomí.|
Rios V. Modesto||El presente y el pasado de Jonacatepec|México||1907|54|6.5x9 pulg|Historia de Morelos|||||Jonacatepec, población, progreso, sucesos, milicia, agricultura, medicina, ingenieria, jurisprudencia, comercial, profesional|Bosquejo histórico-biográfico de Jonacatepec|
Robelo A. Cecilio||El santuario de chalma|Cuernavaca ||1910||7.5x5.5 pulg|Historia de Morelos|||||Santuario, Chalma, chalcas|Entre los innumerables lugares de expiación ó de penitencia creados por los misioneros que vinieron al Anahuac á raíz de la conquista, uno de los más concurridos hasta estos días por los indios es el conocido con el nombre de Santuario de Chalma|
Robelo Cecilio A.||Diccionario de aztequismos o sea jardín de las raíces aztecas|México|Ediciones Fuente Cultural||548|6x8.5 pulg|Historia de Morelos|Tercera|||Librería Navarro|Aztequismos, nahuatl, coacalco, nombres geograficos, guajilote|Palabras del idioma nahuatl, azteca o mexicano, introducidas al idioma castellano bajo diversas formas |
Robelo Cecilio A.|Le Baron Eugenio|Ruinas de Xochicalco|Cuernavaca|José D. Rojas|1902|27|6x8 pulg|Historia de Morelos|Segunda||||Xochicalco, ruinas, atrincheramiento, cerro, pirámide, amates, gruta, respiradero, escalinata, hacienda|Atrincheramiento militar de Xochicalco|
Robelo Cecilio A. / Cañas Eugenio J. / Franco Guadalupe||Las cavernas de Cacahuamilpa|Cuernavaca|Cuauhnahuac|1907|46|5.5x7.5 pulg|Historia de Morelos|||||Grutas, cacahuamilpa, templo, teocalli, indios, conquista, plantas, pueblo, llano, michapa, panteón|Los antiguos mexicanos conocieron la Gruta de Cacahuamilpa a caso la tenían consagrada como un gran templo á alguna divinidad|
Robles U. Humberto||Breve Historia de Tepoztlán, Mor.|México||1982|106|6.5x9 pulg|Historia de Morelos|Segunda||||Población, precolombina, tepozteco, colonial, independiente, revolucionaria, contemporánea, personajes, toponimias|Tepoztlán lugar junto al cobre, donde abundan las piedras quebradas|
Robredo Jose||Romance de Cuernavaca|México|Consejo Nacional de Empresarios de la Industria Textil |1947|22|5.5x7.5 pulg|Historia de Morelos|||||Romance, Cuernavaca, Cuauhnáhuac, tlahuicas, |Poema Romance de Cuernavaca|
Romero de Terreros M.||Atlatlauhcan|México|Instituto Nacional de Antropología e Historia|1956|54|6.5x9 pulg|Historia de Morelos|Segunda|||Talleres de Edimex, S. de R.L.|Atlatlauhcan, iglesia, capilla, convento, claustro|Atlatlauhcan lugar de barrancas |
Romero de Terreros Manuel ||Los jardínes de la Nueva España de 1945|México|Antigua Librería Robredo de José Porrua e hijos|1945|25|7x9.5 pulg|Historia de Morelos|Segunda||||Huertas, paríso, flores, convento, Borda|De las huertas y jardínes monásticos, alcanzaron el mayor renombre los del Convento de Carmen, en San Angel.|
Ruiz de Velasco Angel||Estudios sobre el cultivo de la caña de azúcar, Pluviometría del Estado de Morelos, Drenaje, Abonos propios para dicho cultivo, meteorología y física agrícolas|Cuernavaca, Morelos||1894|247|9.5x5 pulg|Historia de Morelos||Único||Imprenta del Gobierno del Estado|Cultivo, caña, azúcar, pluviometría, drenaje, abonos, cultivo, meteorología, física, agrícolas, botánicos, climas, labranza, barbechos, surcos, siembra, zafra, siega, cañaverales, soca, resoca, larvas, insectos, sacarina, zacatepec,  |Estudios de Felipe Ruiz de Velasco, ingeniero agrónomo de la Escuela de Agricultura de Gembloux, Belgica.|
Ruiz de Velasco Felipe||Historia y Evoluciones del Cultivo de la Caña y de la industria azucarera en México hasta el año de 1910 por el Ing. Felipe Ruiz de Velasco |México|Cvltvra|1937|546|7.5x11 pulg|Historia de Morelos||Único|||Azucar, cultivo, caña, azucarera, botanicas, agrícolas, climatéricas, aguas, abanamientos, Puente de Ixtla, Amacuzac, Tlaltenango, Abonos, Cañavereros, Campos, Fertilidad, Surcada, Riegos, Mieles, Alcoholes, Patología, Riego, Enfermedades, Industria, Terrenos, Lluvias, Drenaje, Puebla, Caldera, Herramienta, Zacatepec, Exportaciones, Mascabado |Este trabajo se publica bajo los auspicios de la Compañía AZUCAR, S.A., quien desea hacer publicos, con fines de beneficio general, los conocimientos y datos adquiridos en el cultivo e industrialización de la caña de azucar en México|
