Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Bueno Cano|Ricardo||Entre un río de robles. Un acercamiento a la arqueología de la región Río Bec.|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica||1999|119 pp.|Ilus - Fts|
González Rul|Francisco||Urbanismo y arquitectura en Tlatelolco|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica||1998|135 pp.|Ilus - Fts - Mps|
Brambila|Rosa|Rubén Cabrera|Los ritmos de cambio en Teotihuacán: reflexiones y discusiones de su cronología|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica||1998|549 pp.|Ilus - Fts - Cuad - Mps|
|||La televisión y los niños urbanos|||Primera||||Instituto Nacional del Consumidor|Cuadernos del consumidor|34|1983||Ilus|
|||El automóvil gris|||Primera|||México|Cineteca Nacional|Cuadernos de la cineteca nacional|10||143 pp.|Fts|
|||Información estadística del sector salud y seguridad social|||Primera|12||Aguascalientes|Instituto Nacional de Estadística, Geografía e Informática|||1996|293 pp.|Cuad|
Baus Czitrom|Carolyn||Los perros de la antigua provincia de Colima|||Segunda|||México|Instituto Nacional de Antropología e Historia|Obra diversa||1998|98 pp.|Fts|
Márquez Morfín|Lourdes|José Gómez de León|Perfiles demográficos de poblaciones antiguas de México|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección obra diversa||1998|170 pp.||
Carballal Staedtler|Margarita||Homenaje al Prof. Francisco González Rul|||Primera|||México|Dirección de Salvamento Arqueológico|A propsito del cuaternario||1997|184 pp|Fts - Mps - Cuad|
Jiménez García|Elizabeth||Iconografía de Tula El caso de la escultura|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección científica|364|1998|518 pp.|Ilus - Mps|
Cruz-Lara Silva|Adriana||Deterioro en nuestras arqueológicas de cuero Análisis e la colágena|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección científica|374|1998|94 pp.|Ilus - Fts|
Linares Villanueva|Eliseo||Prosperación arqueológica por medios geofísicos y químicos en Cuicuilco|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección científica|369|1998|125 pp.|Ilus - Fts|
Lawrence Mathews|Peter||La escultura en Yaxchilán|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección científica|368|1998|374 pp.|Ilus - Mps|
Pérez-Ruiz|Maya Lorena||El sentido de las cosas. La cultura popular en los museos contemporáneos|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección científica|397|1998|229 pp.||
Goñi|Guillermo||Xamanhá: un sitio arqueológico de la central Quintana Roo|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección científica|342|1998|127 pp.|Mps - Ilus|
Braniff C.|Beatriz||Morales, Guanajuato, y la tradición Chupícuaro|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección científica|373|1998|134 pp.|Mps - Ilus|
Malvino|Elsa|Grégory Pereira|El cuerpo humano y su tratamiento mortuorio|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección científica|344|1998|255 pp.|Mps - Ilus - Fts|
Herner de Schmelz|Irene||Tarzán, el hombre mito|||Primera|||México|Secretaría de Educación Pública|Sepsetentas||1974|191 pp.|Ilus|
|||Informe sobre las violaciones a los derechos humanos de los trabajadores migratorios mexicanos en su tránsito hacia la frontera norte, al cruzarla y al internarse en la franja fronteriza sur norteamericana|||Primera|Primera||México|Comisión Nacional de Derechos Humanos|||1993|195 pp.|Cuad|
|||Tradiciones y costumbres jurídicas en comunidades indígenas de México|||Primera|||México|Comisión Nacional de Derechos Humanos|||1997|241 pp.||
Martínez Vargas|Enrique|Ana María Jarquín Pacheco|Materiales arqueológicos del noroeste de Tlaxcala|||Primera|||México|Instituto Nacional de Antropología e Historia|||1998|219 pp.|Ilus - Fts - Mps|
Trejo|Silvia||Mesas redondas de Palenque. Antología.|II||Primera||Trad. por Dana Gelinas, et. al.|México|CONACULTA - INAH|||2000|484 pp.|Ilus - Cuad - Mps|
Navarrete|Carlos||Palenque, 1784: el inicio de la aventura arqueológica maya|||Primera|||México|Universidad Nacional Autónoma de México|Centro de Estudios Mayas|26|2000|105 pp.|Ilus - Fts - Cuad|
Trejo|Silvia||Arquitectura e ideología de los antiguos mayas|||Primera|||México|Instituto Nacional de Antropología e Historia|||2000|251 pp.|Ilus - Fts - Cuad - Mps|
|||El niño guatemalteco en la coyuntura actual|||Primera|||México|Comisión de Derechos Humanos de Guatemala|||1986|85 pp.|Fts - Mps|
|||Situación de los derechos humanos en Guatemala|||Primera|||Guatemala|Comité Pro-Justicia y Paz en Guatemala|||1982|297 pp.|Fts - Cuad - Mps|
Garza Camino|Mercedes de la||Los misterios de Palenque|||Primera|||México|CONACULTA - INAH|Paisajes de la historia|II|2000|95 pp.|Ilus - Fts|
