Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Lise |Anne|René Pietri||Empleo y migración en la región de Pátzcuaro|||Primera|||México, D.F|INI|||1976|270|Fotos|
Van Zantwijk|R.A.M|||Los servidores de los Santos|||Primera|||México, D.F|INI|||1974|334||
Raison|Timothy|||Los padres fundadores de la ciencia social|||Primera||Trad. Por José Cano Tembleque|Barcelona|EditoriAL ANAGRAMA|||1970|235||
Aguirre Beltrán|Gonzalo|||Obra Antropológica XVI|||Primera|||México, D.F|Fondo de Cultura Económica|||1994|211||
Esteva Fabregat|Claudio|||Cultura, sociedad y personalidad|||Segunda|||Barcelona|Editorial Anthropos|||1978|463||
Malinowski |Bronislaw|||The dynamics of culture change|||Primera|||USA|Yale University Press|||1961|171||
Sandoval Aguilar|Zazil|||Lenguas Indígenas de México|||Primera|||México, D.F|CIESAS|||1991|130||
Bolleme|Genevieve|||El pueblo por escrito|||Primera||Trad. Por Rosa Cusminsky|México, D.F|Editorial Grijalbo|||1990|249||
Castro|A.|C. Lessa||Introducción a la economía |||Tercera|||México, D.F|Siglo XXI Editores|||1971|164|Cuadros|
Pouillon|Jean|Marc Barbut et al||Problemas del estructuralismo|||Primera|||México, D.F|Siglo XXI Editores|||1967|182||
León Portilla|Miguel|||El reverso de la Conquista|||Primera|||México, D.F|Editorial Joaquín Mortiz|||1964|192||
Mesarovic|M.|E. Pestel||La humanidad en la encrucijada|||Primera||Trad. Por Miguel A. Cárdenas|México, D.F|Fondo de Cultura Económica|||1975|261||
||||Anuario de Investigación 2000|||Primera|||México, D.F|UAM|||2001|439||
Olivera|Mercedes|||Pillis y macehuales|||Primera|||México, D.F|CIESAS|La Casa Chata|6|1978|246||
Nikitin|P.|||Econompia Política|||Primera||Trad. Por L. Vladov|Moscú|Ediciones en Lenguas Exranjeras|||1961|421||
Jiménez Castillo|Manuel|||Huancito. Organización política y práctica política|||Primera|||México, D.F|INI|Colección INI|70|1985|582|Cuadros y fotos|
Romero|Matias|||El cultivo del café en la costa meridional de Chiapas|||Primera|||México|SARH|||1875|240||
||||Cristóbal Colón. Diario. Relaciones de Viajes|||Primera|||Madrid|SARPE|||1985|224||
Muriá|José María|||Sociedad prehispánica y pensamiento europeo|||Primera|||México|SEP|SepSetentas||1973|223||
Lévi-Strauss|Claude|||Tristes Tropiques|||Primera|1968||New York|Atheneum|||1968|404|Ilustraciones|
Ribeiro|Darcy|||Los brasileños|||Primera|||México, D.F|Siglo XXI Editores|||1975|211||
Malinowski|Bronislaw|||Crimen y costumbre en la sociedad salvaje|||Tercera||Trad. Por J. y M. T Alier|Barcelona|Ediciones Ariel|||1971|156||
Nagel |Ernest|||Simbolismo y ciencia|||Primera||Trad. Por Horacio Crespo|Buenos Aires|Ediciones Nueva Visión||1|1972|68||
Durán |Marco Antonio|||El agrarismo en México|||Primera|||México|Siglo XXI Editores|||1967|175||
Gallini|Clara|||Las buenas intenciones|||Primera|||Buenos Aires|Guaraldi Editori|||1974|118||
Foster|G.M|||Las culturas tradicionales y los cambios técnicos|||Primera||Trad. Por Andrés M. Mateo|México, D.F|Fondo de Cultura Económica|||1964|261||
Mead |Margaret|||La antropología y el mundo contemporáneo|||Primera||Trad. Por Alfredo Llanos|Buenos Aires|Ediciones Siglo XX|||1971|229||
Paoli Bolio|Francisco José|||Ensayos de Sociología y política|||Primera|||México, D.F|UAM Azcapotzalco|||1982|78||
||||Relatos Mochó|||Primera|||México, D.F|CONACULTA|Lenguas de México|8|1995|81||
Thion|Serge|Claude Levi-Strauss et al||Aproximación al estructuralismo|||Primera|||Buenos Aires|Editorial Galerna|||1967|89||
Zavala |Iván|||Lévi-Strauss|||Primera|||México|Editorial EDICOL|||1977|185||
