Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Yáñez Muñoz|Fernando||La vivienda en el medio indígena|||Primera|||México|Escuela Nacional de Antropología e Historia - Secretaría de Educación Pública||||327 pp.|Ilus - Fts - Cuad - Mps|
Arana Aguilar|Bernardino||Reflexiones sobre las fronteras mexicanas norte y sur; hacia un enfoque integrado|||Primera||||||||119 pp.|Cuad|
Nolasco Armas|Dra. Margarita||Expedientes candidatos para ingresar como investigadores titulares|||Primera|||México|El Colegio de la Frontera Norte|||2002||Fts|2
|||Ni paz ni justicia|||Primera|||Chiapas|"Centro de Derechos Humanos ""Fray Bartolomé de las Casas"""|||1996|177 pp.|Fts - Cuad - Mps|
|||De refugiadas a retornadas|||Primera|||Chiapas|"Organización de Mujeres Refugiadas Guatemaltecas ""Mama Maquin"" - Centro de Investigación y Acción para la Mujer CIAM"|||1994|104 pp.|Ilus - Fts - Cuad - Mps|
|||Camino a la masacre. Informe especial sobre Chenaló.|||Primera|||Chiapas|"Centro de Derechos Humanos ""Fray Bartolomé de las Casas"""||||99 pp.|Ilus - Fts - Cuad - Mps|
|||La legalidad de la injusticia|||Primera|||Chiapas|"Centro de Derechos Humanos ""Fray Bartolomé de las Casas"""|||1998|129 pp.|Fts - Mps|
|||Anuario de estudios indígenas VII|||Primera|||Chiapas|Instituto de Estudios Indígenas - Universidad Autónoma de Chiapas|||1998|416 pp.|Ilus - Cuad - Mps|
Amador|Elías||El clero mexicano en la revolución de la independencia|||||||||||232 pp.||
Nava|Jesús||Antología del pasado. Una mirada a la memoria del futuro.|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica||2001|147 pp.|Ilus - Cuad|
Gutiérrez|María de la Luz|Justine R. Hyland|Arqueología de la sierra de San Francisco|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica||2002|447 pp.|Ilus - Fts - Cuad - Mps|
Olivera de Bonfil|Alicia||Los archivos de la memoria|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica||1999|206 pp.|Cuad|
Limón Olvera|Silvia||El fuego sagrado. Simbolismo y ritualidad entre los nahuas.|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica||2001|334 pp.|Ilus - Fts|
Morales Coello|E.|et. al.|Los altos de Chiapas. Una zona de reserva de mano de obra|||Primera|||México|Centro Nacional de Productividad de México||||317 pp.|Cuad|
Márquez Morfín|Lourdes|Olga Patricia Hernández|Principios básicos, teóricos y metodológicos de la paleodemografía|||Primera|||México|Escuela Nacional de Antropología e Historia|||2001|85 pp.|Ilus - Cuad|
Carrillo Muñoz|Siddharta Jomás||Tiempo, espacio y persona. Diversidad ritual y visión del mundo en Hueyapan, Morelos|||Primera|||México|Escuela Nacional de Antropología e Historia|||2004|224 pp.|Cuad|
|||Perfil nacional de los pueblos indígenas de México|||Primera|||México|Grupo de Trabajo Gubernamental|||1999|88 pp.|Cuad - Mps|
Ku Herrera|Enrique||Hacia un indigenismo para el tercer milenio|||Primera|||México|Sociedad Mexicana de Geografía y Estadística|||1997|35 pp.||
Hope Ponce|Margarita Elena|David Mora Eguiarte|De abominable a zurriburrico|||Primera|||México|Escuela Nacional de Antropología e Historia - Instituto Nacional de Antropología e Historia - Secretaría de Educación Pública|||2000||Ilus - Fts - Cuad - Mps|
|||Documento de información|||Primera|||México|Alto Comisionado de las Naciones Unidas para los Refugiados|||1997|17 pp.||
Gnecco|Cristóbal|Marta Zambrano|Memorias hegemónicas, memorias disidentes. El pasado como política de la historia.|||Primera|||Colombia|Instituto Colombiano de Antropología e Historia|||2000|349 pp.|Fts|
Watanabe Takasawa|Tomoko||¿Quién tiene la voz? Una autorreflexión sobre la relación y cooperación japonesas con los actores locales de San Martín Buenavista, Oaxaca|||Primera|||México|Escuela Nacional de Antropología e Historia - Instituto Nacional de Antropología e Historia - Secretaría de Educación Pública|||2004|246 pp.|Mps|
