Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Fidel Zorrilla|Juan|||Tamaulipas. Textos de su historia|||Primera|||México, D.F|Instituto de Investigaciones Dr. José María Luis Mora|||1990|282||
||||Trabajos y conferencias |||Primera|||Madrid|Universidad de Madrid|||1956|54|Fotos|
Martinelli|Franco|||Estructura de clase y sociedades rurales en el pensamiento de Marx-Engels|||Primera||Trad. Por Manuel Olasagasti|Madrid|Editorial Villalar|Colección Zimmerwald||1978|80||
Campbell|Donald|Julian Stanley||Diseños experimentales y cuasiexperimentales en la investigación social|||Primera|||Buenos Aires|Amorrortu Editores|||1973|158||
Broniwski|J.|||The common sense of science|||Primera|1969||Londres|Heinemann Educational Books |||1951|159||
Don Santos|Theotonio|||Concepto de clases sociales|||Primera|||México|Editorial Nuevos Horizontes||||107||
Stern|Claudio|||La desigualdad social II|||Primera|||México, D.F|SEP|SepSetentas||1974|220|Cuadros|
Marroquín|Martha|||Los indocumentados|||Primera|||México|Claves Latinoamericanas|||1983|59||
Epple|Juan Armando|||Cruzando la cordillera|||Primera|||México|SEP-La casa de chile en México|||1986|242||
Talavera Solórzano|Leticia|Mariano Monterrosa Prado||Las devociones cristianas en México|||Primera|||México|Plaza y Valdés-INAH|||2002|238|Ilustraciones|
||||Guía del migrante Yucateco|||Primera|||[Yucatán]|INDEMAYA-INAH|||2004|87||
Barrera Bassols|Jacinto|||El bardo y el bandolero|||Primera|||Puebla, Pue.|Universidad Autónoma de Puebla|Colección y Crónicas y testimonios||1987|179||
Alberto Bartolomé|Miguel|Alicia Mabel Barabas||La pluralidad en peligro|||Primera|||México, D.F|INAH-INI|||1996|329|Cuadros, mapas|
Carranca y Trujillo|Raúl|||La organización social de los antiguos mexicanos|||Primera|||México, D.F|Ediciones Botas |||1996|72||
Runciman|W. G.|||Ensayos: sociología y política|||Primera||Trad. Por Florentino M. Torner|México|Fondo de Cultura Económica|||1963|259||
Augé|Marc|||Dios como objeto |||Primera||Trad. Por Alberto L. Bixio|Barcelona|Editorial Gedisa|||1988|143||
Medina|Andrés|||Tenejapa: familia y tradición de un úebo tzeltal|||Primera|||Tuxtla Gutiérrez, Chiapas|Gobierno del Estado de Chiapas|||1992|30|Cuadros|
Legorreta Díaz|Ma. Del Carmen|||Religión, política y guerrilla en Las Cañadas de la Selva Lacandona|||Primera|||México, D.F|Aguilar, León y Cal Editores|||1998|333||
Méndez y Mercado|Leticia Irene|||Migración: desición involuntaria|||Primera|||México, D.F|INI|Colección INI|72|1985|269|Ilustraciones y cuadros|
Gómez Robleda|J.|Ada D´aloja||La familia y la casa|||Primera|||México, D.F|Universidad Nacional|||1959|152|Fotos y cuadros|
Rendon|Armando B.|||Chicano Manifiesto|||Primera|1972||New York|Collier Books|||1971|337||
Saravia E.|Albertina|||Popol Vuh|||Primera|||México, D.F|Editorial Porrúa|"""Sepan cuantos…"""|36|1965|166|Ilustraciones|
Tanori Villa|Cruz Arcelia|||La mujer migrante y el empleo|||Primera|||México, D.F|INAH|||1989|82|Cuadros|
||||Trabajos y conferencias ||II|Primera|||Madrid|Universidad de Madrid||2|1957|63||
Rodríguez |Martha|||Historia de los pueblos indígenas de México y exterminio|||Primera|||México, D.F|CIESAS|||1995|212|Cuadros, fotos e ilustraciones|
Escobar Ohmstede|Antonio|||De la costa a la sierra|||Primera|||México, D.F|CIESAS-INI|||1998|253|Fotos y cuadros|
||||Anuario Estadístico de los Estados Unidos Mexicanis|||Primera|||Aguascalientes, Ags.|INEGI|||1994|668|Cuadros|
||||Desarrollo: Estudios sobre estructuración social|||Primera|||México, D.F|Instituto Mexicano de Ciencias Sociales|||1967|67||
Kenny|M.|V.García et al||Inmigranes y refugiados españoles en México|||Primera|||México, D.F|CIESAS|La casa chata|8|1979|369||
Palma Murga |Gustavo||Editor|Índice general del Archivo del Extinguido Juzgado Privativo de Tierras depositado en la Escribanía de Cámara del Supremo Gobierno de la República de Guatemala|||Primera|||México, D.F|CIESAS|||1991|504||
Beriain |Josetxo|||La lucha de los dioses en la modernidad|||Primera|||Barcelona|Anthropos Editorial|||2000|251||
Michener|James A.|||Polonia|||Primera||Trad. Por Rosa Naveyra|México, D.F|Edivisión Editorial|||1986|569||
Martinelli|José María||Compilador|La actualidad de Gramsci: Poder, Democracia y Mundo Moderno|||Primera|||México, D.F|UAM Iztapalapa|||1995|181||
Newbold Adams|Richard|||La red de la expansión Humana|||Primera||Trad. Por Megan Thomas|México, D.F|CIESAS|La casa chata|7|1978|189||
Feyerabend|Paul K.|||Obras maestras del Pensamiento Contemporáneo|||Primera||Trad. Por Francisco Hernán|Barcelona|Planeta-Agostini|||1993|185|Ilustraciones|
Murdock|George Peter|||Social Structure|||Primera|1960||New York|The Macmillan Company|||1949|387|Cuadros|
Partida Bush|Virgilio|||Migración Interna|||Primera|||Aguascalientes, Ags.|INEGI|||1994|130|Cuadros|
Morales|Patricia|||Indocumentados mexicanos|||Primera|||México, D.F|Editorial Grijalbo|||1982|270|Cuadros|
Salazar|Delia||Coordinadora|Xenofobia y xenofilia en la historia de México siglos XIX y XX|||Primera|||México, D.F|SEGOB-INAH|Colección Migración||2006|518||
||||Casa, vecindario y cultura en el siglo XVIII|||Primera|||México, D.F|INAH|Colección Científica||1998|221||
Barabas|Alicia|||Utopías Indias|||Tercera|||México, D.F|INAH-Plaza y Valdés|||2002|228|Mapas|
Mahnken|Winifred|||Mi vida en los cafetales. Tapachula (1882-1992)|||Primera|||México, D.F|Gobierno del Estado de Chiapas|||1993|83||
Sevilla|Amparo|||Flor de Asfalto|||Primera|||México, D.F|INAH|||1998|159||
Ramírez Leyva|Edelmira|||El paralelismo en el romancero|||Primera|||México, D.F|UAM Azcapotzalco|||1980|146||
Cárdenas Barahona|Eyra||Coordinadora|50 años memoria de la ENAH|||Primera|||México, D.F|INAH|||1993|405||
||||Chiapas. Estudio de un Proyecto Agropecuario|||Primera|||México, D.F|Secretaría de la Presidencia|||1976|78|Cuadros|
||||El ozono y sus precursores|||Primera|||México|SEDESOL-SEP-SCT-PEMEX-SEGOB||||29|Ilustraciones|
||||El IMECA una forma de medir la contaminación|||Primera|||México|SEDESOL-SEP-SCT-PEMEX-SEGOB||||31|Ilustraciones|
||||Pueblos Indígenas de México. Zoques de Chiapas|||Primera|||México, D.F|INI|||1994|22|Fotos|
||||Pueblos Indígenas de México. Choles|||Primera|||México, D.F|INI|||1994|24|Fotos|
||||Recomendaciones para la prevención y control de la clorosis en soya en el sur de Sonora|||Primera|||Cd. Obregón, Sonora.|SARH|||1987-1989|6|Fotos|
||||Cuadro básico de insecicidas para el control de plagas del algodonero en el sur de Sonora|||Primera|||Cd. Obregón, Sonora.|SARH|||1990|8|Cuadros e ilustraciones|
||||Tratamiento Anaerobio|||Primera|||México|UNAM|||1990|[5]|Mapa e ilustraciones|
||||Recomendaciones para el manejo de insecticidas contra plagas de la soya en el sur de Sonora|||Primera|||Cd. Obregón, Sonora.|SARH|||1990|8||
