Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas
||||La tierra de los Mayas|||Primera|||Patzcuaro, Michoacán|SEP-INI-CIESAS|||1981|153|Fotos
Montané Martí|Julio César|||Francisco de Ulloa: explorador de ilusiones|||Primera|||Hermosillo, Sonora|Universidad de Sonora|Colección Alforja del Tiempo|1|1995|388|Mapas
Malvido |Elsa|Miguel Ángel Cuenya|Compiladores|Demografía histórica de México: siglos XVI-XIX|||Primera|||México, D.F|UAM-Instituto Mora|||1993|273|Cuadros
||||Los regímenes políticos|||Primera|||Barcelona, España|Salvat Editores|||1973|142|Fotos
Luxemburg|Rosa|||Huelga de masas, partido y sindicatos|||Cuarta|||Córdoba|Ediciones Pasado y Presente||13|1975|156|
||||El capitalismo del Centavo. Una economía indígena de Guatemala|II||Primera|||Guatemala|"Centro editorial ""José Pineda Ibarra"""||12|1964|579|Cuadros
Galvao de Souza|J.P|||Representacao partidária ou representacao corporativa¡?|||Primera|||Sao Paolo|[Ed. Alarico]|Colección Continentes|||8|
Huberman|Leo|Paul M. Sweezy||Introducción al socialismo|||Primera||Trad. Por Antonio Gallifa|Barcelona|Ediciones Martinez Roca|||1976|162|
Campa|Valentín|||Mi testimonio. Memorias de un comunista mexicano|||Tercera|||México, D.F|Ediciones de Cultura Popular|||1985|406|Fotos
||||Karl Marx-Friedrich Engels/ Materiales para la historia de América Latina|||Primera|||Córdoba|Ediciones Pasado y Presente||30|1972|350|Cuadros
Marx|Karl|||El 18 brumario de Luis Bonaparte|||Tercera||Trad. Por O.P Safont|Barcelona, España|Editorial Ariel|||1977|171|
Oelgart||||Crítica marxista de R. Debray & Althuser|||Primera|||Buenos Aires, Argentina|Editorial Cuervo||23|1977|64|
Adler|Max|||La concepción del Estado en el Marxismo|||Primera|||México, D.F|Siglo XXI|||1982|371|
Guerra |Sergio|Alberto |Prieto|Cronología del movimiento obrero y de las luchas por la revolución socialista en América Latina y el Caribe (1917-1939)|||Primera|||La Habana, Cuba|Casa de las Americas|||1980|106|Cuadros
Arguedas|Sol|||Chile:Hacia el socialismo|||Primera|||México, D.F|Cuadernos Americanos|||1973|179|Cuadros y fotos
Quintero|Rodolfo|||¿Interviene la CIA en investigaciones sociológicas que se realizan en Venezuela?|||Primera|||Caracas, Venezuela|Editorial Crítica Marxista|||1968|59|Cuadros
Elías Ramírez|Plutarco|||Colombia|||Primera|||La Habana, Cuba|Ediciones Casa de las Américas|Colección Nuestros Países||1964|50 [28]|Fotos
Pereira|Manuel|||Cró-nicas desde Nicaragua|||Primera|||La Habana, Cuba|Casa de las Américas|Colección Nuestros Países||1981|81|Fotos
Carr|Barry|Ricardo Anzaldúa Montoya|Editores|The Mexican Left, the Popular Movements and the Politics of Austerity|||Primera|||San Diego, CA|Center for the U.S-Mexican Studies||18|1986|96|Cuadros
Maxfield |Sylvia|Ricardo Anzaldúa Montoya|Editores|Government and Private Sector in Contemporary Mexico|||Primera|||San Diego, CA|Center for the U.S-Mexican Studies||20|1987|146|Cuadros
Alvarado |Arturo||Editor|Electoral Patterns and Perspectives in Mexico|||Primera|||San Diego, CA|Center for the U.S-Mexican Studies||22|1987|287|Cuadros
Middlebrook|Kevin J.|||Political Liberaralization in an Authoritarian Regime|||Primera|||San Diego, CA|Center for the U.S-Mexican Studies||41|1985|36|Cuadros
Carr|Barry|||Mexican Communism, 1968-1983|||Primera|||San Diego, CA|Center for the U.S-Mexican Studies||42|1985|36|
Cornelius|Wayne A.|||The Political Economy of Mexico Under de la Madrid: The Crisis Deepens, 1985-1986|||Primera|||San Diego, CA|Center for the U.S-Mexican Studies||43|1986|50|
Schryer|Frans J.|||Faccionalismo y patronazgo del PRI en un municipio de la huasteca hidalguense|||Primera|||México, D.F|CES-El Colegio de México|Cuadernos del  CES|16|1976|35|Cuadros
Carrillo y Gabriel|Abelardo|||El traje en la Nueva España|||Primera|||México|INAH||7|1959|207 [158]|Fotos
Makarov|A.|||Manual de Materialismo Histórico|||Primera||Trad. Por C. de Martínez|Buenos Aires, Argentina|Editorial Cartago|||1965|414|
Pizzorno |Alessandro|Dora Marucco et al||Historia de las ideas políticas económicas y sociales|||Primera||Trad. Por Eduardo Molina y Vedia|México|Folios Editorial|||1984|300|
Del Río|Ignacio|||A la diestra mano de las Indias|||Primera|||México|UNAM|||1990|108|
Gerhard|Peter|||La Frontera sureste de la Nueva España|||Primera|||México, D.F|UNAM|||1991|166|Cuadros y mapas
González-Hermosillo Adams|Francisco||Coordinador|Gobierno y economía en los pueblos indios del México colonial|||Primera|||México, D.F|INAH|Colección Científica||2001|244|Cuadros y mapas
González Sánchez|Isabel|||Haciendas, tumultos y trabajadores: Puebla-Tlaxcala, 1778-1798|||Primera|||México, D.F|INAH|Colección Fuentes||1997|181|
Martínez Baracs|Rodrigo|Lydia Espinosa Morales||La vida michoacana en el siglo XVI. Catálogo de los documentos del siglo XVI del Archivo Histórico de la Ciudad de Pátzcuaro|||Primera|||México, D.F|INAH|Colección Fuentes||1999|336|
Morner|Magnus|||La corona Española y los foráneos en los pueblos de indios de América|||Primera|||Madrid|AECI-Ediciones de Cultura Hispánica|||1999|403|Mapas
Frederick Schwaller|John|||Partidos y Párrocos bajo la real corona en la Nueva, España, Siglo XVI|||Primera|||México|INAH|Colección Científica|104|1981|614|Cuadros
López Miramontes|Álvaro|||Las minas de Nueva España en 1753|||Primera|||México, D.F|INAH-SEP|Colección Científica|29|1975|108|Imágenes
Ricard|Robert|||La conquista espiritual de México|||Primera||Trad. Por Ángel María Garibay K.|México|Editorial Jus-Editorial Polis|||1947|557|Mapas e imágenes
Gutiérrez Ibarra|Celia|||Documentos sobre la colonización de Texas, 1822|||Primera|||México, D.F|INAH||62|1986|182|
Gutiérrez Ibarra|Celia|||Documentos transcritos sobre la colonización de Texas|||Primera|||México, D.F|INAH||61|1986|10[60]|
Ewald|Ursula|||Estudios sobre la hacienda colonial en México|||Primera|||Wiesbaden, Alemania|Franz Steiner Verlag GMBH|||1976|190|Cuadros y Láminas con mapas y fotos
Aguirre |Amado||Recopilador|Documentos para a historia de Baja California|||Primera|||México, D.F, Tijuana B.C|UNAM-UABC|||1977|137|
Chance |John K.|||Índice del Archivo del Juzgado de Villa Alta, Oaxaca. Época colonial|||Primera|||Nashville, Tennessee|Vanderbilt University||21|1978|116|
