Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
||||La formación de adultos y el desarrollo socio-económico|||Primera|||San José, Costa Rica|CEDAL|Colección seminarios y documentos||1969|102||
||||Manual de promotor|||Primera|||México|SEP|||1981|254|Cuadros e ilustraciones|
||||Guía de la alimentación- paternidad responsable|||Primera|||México, D.F|Instituto de Investigación e integración social del Estado de Oaxaca|||1974|62|Ilustraciones|
||||Informe del movimiento educativo en México|||Primera|||México|SEP|||[1962-1963]|141|Cuadros|
Du Sautoy|Peter|||Guías prácticas para la educación extraescolar|||Primera|||Fontenoy, París|UNESCO|||1966|136|Cuadros|
||||Educación||XI|Primera|||Puerto rico|Departamento de Instrucción Pública Estado Libre Asociado de Puerto Rico|||1961|139|Ilustraciones|
Coflier|George A.|||Fields of the Tzotzil|||Primera|||Austin, Texas|University Texas Press|||1975|255|Fotos y cuadros|
Aramoni Calderón|Dolores|||Los refugios de lo sagrado|||Primera|||México, D.F|CONACULTA|||1992|431|Cuadros|
||||Organización de escuelas e institutos de administración pública|||Primera||Trad. Por Mario Bracamonte|México|Editorial Diana|||1972|237||
Fafán Hernández|Jesús|||El adolescente marginado y su educación|||Primera|||México, D.F|SEP|||1972|97||
||||El primero de todos|||Primera|||La Habana, Cuba|Pueblo y Educación|||1971|29|Ilustraciones|
||||Proyectos de educación superior|||Primera|||México, D.F|Editorial Limusa|||1981|180|Cuadros|
García Acosta|Virginia|||Estudios históricos sobre desastres naturales en México|||Primera|||México, D.F|CIESAS|||1994|76||
Rosenblueth|Emilio|Virginia García Acosta et al||Macrosismos|||Primera|||México, D.F|CIESAS|||1994|55|Cuadros|
Reyes Coca|Sergio|||Interacción Océano-atmósfera |||Primera|||Mexicalli, B.C|UABC|||1991|107||
Schrecker|Paul|||La estructura de la civilización|||Primera|||México|Fondo de Cultura Económica|||1957|396||
Macías|Jesús Manuel|||Analizando el desastre de Guadalajara|||Primera|||México, D.F|CIESAS|||1993|71||
||||Manual del promotor cultural|||Primera|||Toluca, México.|Centro Cultural Mazahua|||1980|126||
Desanti |Jean|Gilbert Cury et al||Las nociones de estructura y génesis|II||Primera|||Argentina|Ediciones Nueva Visión|||1975|107||
Lemoine Villicaña|Ernesto|||El desague del valle de México durante la época independiente|||Primera|||México, D.F|UNAM||20|1975|126|Fotos y mapas|
Miceli Méndez|Clara Luz|||Orquídeas de Ocozocoautla, Chiapas|||Primera|||Tuxtla Gtz., Chiapas|Universidad de Ciencias y Artes de Chiapas|||2002|68|Fotos|
Greenough|Richard|||Para los niños del mundo|||Primera|||Fontenoy, París|UNESCO|||1969|66|Fotos|
Chapela |Gonzalo|David Barkin||Monarcas y campesinos|||Primera|||México, D.F|Centro de Ecología y Desarrollo|||1995|224|Cuadros y mapas|
Sidorov|M.|||Cómo el hombre llegó a pensar|||Primera|||Buenos Aires|Editorial Cártago|||1967|134|Ilustraciones|
Lévy-Bruhl|Lucien|||La mentalidad primitiva|||Primera||Trad. Por Gregorio Weinberg|Buenos Aires|Ediciones Leviatán|||1922|391||
Belanger|Jerome D.|||Raising small livestock|||Primera|||Emmaus, Pennsylvania|Rodale Press|||1974|246|Fotos|
Barkley|Paul W.|David W. Seckler||Economic Growth and Enviromental Decay. The solition becomes the problem|||Primera|||New York, NY.|Harcourt Brace Jovanovich|||1972|193|Cuadros y Fotos|
Scalon|Arlene Patricia|||Un enclave cultural|||Primera|||México, D.F|CIESAS|||1984|255|Cuadros|
||||Breviario de términos y conceptos sobre ecología y protección ambiental|||Primera|||México|PEMEX|||1986|300|Fotos y cuadros|
Suárez|Blanca||Coordinadora|¿Biotecnología para el Progreso de México?|||Primera|||México, D.F|Centro de Ecodesarrollo|||1990|206|Cuadro|
Acot|Pascal|||Introducción a la ecología|||Primera||Trad. Por Eva Grosser Lerner|México, D.F|Editorial Nueva Imagen|||1978|151|Ilustraciones|
Hardin |Garret|||Nature and Man´s Fate|||Primera|||New York, NY.|New American Library|||1959|320|Ilustraciones y fotos|
||||Estudio de la situación en cuanto a la alfabetización en América Latina|||Primera|||Pátzcuaro, Michoacán|CREFAL|||1968|191|Cuadros|
Ivan Illich|Everett Reimer|||Alernatives in education|||Primera|||Cuernavaca, México|CIDOC||1001|1970|161-6||
||||La enseñanaza universitaria de las ciencias sociales: ciencia política|I||Primera|||Washington, D.C|UNION PANAMERICANA|||1961|216||
Flores Clair|Eduardo|||Minería, educación y sociedad El colegio de Minería 1774-1821|||Primera|||México, D.F|INAH|Colección Científica||2000|239|Cuadros|
||||La enseñanaza universitaria de las ciencias sociales: ciencia política|II||Primera|||Washington, D.C|UNION PANAMERICANA|||1961|74||
Castillo Ríos|Carlos|||La educación en China|||Primera||||||||||
Miller|Walter S.|||Cuentos Mixes|||Primera|||México, D.F|INI||2|1956|285|Ilustraciones y mapa|
Alvarez López|Juan|||El medio ambiente en el desarrollo económico de la frontera norte de México|||Primera|||Tijuana, Baja California|UABC|||1988|106|Mapas y cuadros|
Pinto|Estevao|||Introducao a história da antropología indígena no Brasil |||Primera|||México, D.F|||36|1958|84|Fotos|
Savage |Jay M.|||Evolución |||Primera|Abril de 1977|Trad. Por Biol. Daniel Lluch B.|México, D.F|Compañía Editorial Continental|||1973|175|Ilustraciones |
Robinson|Scott S.|||El etnocidio ecuatoriano|||Primera|||México|Universidad Iberoamericana|||1971|37||
Morris|Desmond|||El modo desnudo|||Primera|||Barcelona, España|Plaza & Janes Editores|||1968|288||
Gayol |Roberto|||Dos prolemas de vital importancia para México|||Primera|||Morelos, México|CIESAS-IMTA|||1994|114||
Palacios |Leopoldo|||El problema de la irrigacion|||Primera|||Morelos, México|CIESAS-IMTA|||1994|94|Cuadros|
Gómez Robledo V.|Alonso|||Responsabilidad internacional por daños fronterizos|||Primera|||México, D.F|UNAM|||1983|184||
Cardoza V.|Ramón||Coordinador|La información centenal en la zonificación agropecuaria y forestal, con fines de un mejor aprovechamiento de los recursos naturales|||Primera|||México|CETENAL|||1976|34|Cuadros y mapa|
Posada |Francisco|||El camino Chibcha a la sociedad de Clases|||Primera|||México|INAH||6|1967|42||
Wiles|Kimball|||Técnicas de supervisión para mejores escuelas|||Segunda|1980||México, D.F|Editorial Trillas|||1973|333||
||||Anales de Antropología|I|XIX|Primera|||México, D.F|UNAM|||1981|210|Ilustraciones, Cuadros y Fotos|
||||Anales de Antropología|II|XVII|Primera|||México, D.F|UNAM|||1980|399|Ilustraciones y fotos|
||||Anales de Antropología|||Primera|||México, D.F|CIESAS|||1984|542||
||||Anales de Antropología||III|Primera|||México, D.F|UNAM|||1966|324|Fotos, Ilustraciones y fotos|
||||Anales de Antropología||IV|Primera|||México, D.F|UNAM|||1967|278|Fotos e ilustraciones|
||||Anales de Antropología||V|Primera|||México, D.F|UNAM|||1968|316|Fotos e ilustraciones|
||||Anales de Antropología|I||Primera|||México, D.F|UNAM|||1980|358|Planos y Fotos|
||||Anales de Antropología|||Primera|||México, D.F|CIESAS|||1986|356||
||||Miscellanea Paul Rivet octogenario dicata|II||Primera|||México|UNAM|||1958|903|Fotos|
Comas|Juan|||Cien años de Congresos Internacionales de Americanistas|||Primera|||México, D.F|UNAM|||1974|542|Fotos|
||||Congreso Internacional de Americanistas. Actas y memorias|||Primera|||México, D.F|INAH||3|1964|506|Fotos y mapas|
||||Congreso Internacional de Americanistas|||Primera|||México, D.F|INAH||1|1964|646|Fotos y Cuadros|
Orozco Zuarth|Marco A.|||Síntesis de Chiapas|||Primera|||Tuxtla Gtz., Chiapas||||1994|172|Mapas , ilustraciones y fotos|
Bruce S.|Roberto D.|Carlos Robles U et al||Los lacandones 2.-Cosmovisión maya|||Primera|||México|INAH|||1971|187||
||||Enciclopedia mexicana de Arte. Los Lacandones de Bonampak|||Primera|||México, D.F|Ediciones Mexicanas|||1951|94[18]|Mapa|
Lagarriga Attias |Isabel |Juan Manuel Sandoval Palacios||Ceremonias mortuorias entre los otomies del norte del Estado de México|||Primera|||Toluca, Edo. De México.||||1977|122|Cuadros y mapa|
Lagarriga Attias |Isabel |Juan Manuel Sandoval Palacios||Otomies del norte del Estado de México |||Primera|||México|Biblioteca Enciclopédica del Estado de México|||1978|222|Cuadros|
Teixeira|Faustino|||Teología de las religiones|||Primera|||Quito, Ecuador|Editorial Abya Yala|||2004|220||
Robledo Hernández|Gabriela Patricia|||Disidencia y Religión. Los expulsados de San Juan Chamula|||Primera|||México, D.F|INAH-SEP|||1987|168|Fotos y mapas|
Palou|Fr. Francisco|||Cartas desde la península de Baja California (1768-1773)|||Primera|||México, D.F|Editorial Porrúa|||1994|549||
Barabas|Alicia M.|||Utopías Indias|||Primera|||México, D.F|Editorial Abya Yala|||1989|258|Mapas|
Iwanska|Alicja|||Purgatorio y utopía|||Primera||Trad. Por Héctor David Torres|México, D.F|SEP|SepSetentas|41|1972|204||
Ruíz García |Mons. Manuel|||Mi trbajo pastoral en la Diócesis de San Cristóbal de las Casas|||Primera|||México, D.F|Ediciones Paulinas|||1999|159|Fotos|
García Icazbalceta|Joaquín|||Juan Diego y las apariciones de Tepeyac|||Primera|||México, D.F|Publicaciones para el estudio científico de las religiones |||2002|63||
Karoln Kocyba|Henryk|Yólotl González Torres|Coordnadores |Historia Comparativa de las religiones|||Primera|||México, D.F|EDUVEM|||1998|493|Ilustraciones|
Bobzin|Hartmut|||Mahoma|||Primera|||México, D.F|Ediciones Folio|||2004|189||
Laurencich-Minelli|Laura|Paulina Numhauser Bar-Magen||El silencio protagonista|||Primera|||Quito, Ecuador|Ediciones Abya-Yala|||2003|228|Cuadros|
Morales Reyes|Rosalío|||Huehuetán|||Primera|||Tuxtla Gtz., Chiapas|Consejo Estatal para la Cultura y las Artes de Chiapas|||2000|111|Fotos|
Crumrine|N. Ross|||El ceremonial de Pascua y la Identidad de los Mayos de Sonora (México)|||Primera|||México, D.F|INI|||1974|363|Fotos|
García |Leobardo|||Pionero, Beato Sebastián de Aparicio|||Primera|||Puebla, Pue.|Nueva Edición|||1996|71||
Moreno|Heriberto|||Diario del viaje a la Nueva España|||Primera|||México, D.F|SEP-CIEN|||1986|220|Ilustraciones|
Martínez Baracs|Rodrigo|||La secuencia tlaxcateca. Orígenes del culto a nuestra señora  de Ocotlán.|||Primera|||México, D.F|INAH|||2000|240|Ilustraciones|
Carrasco Henaro |Enrique|Julio Espinosa Martínez||La Fundación de la Ciudad de Puebla y su primer convento|||Primera|||Puebla, Pue.|Ediciones Enrique Cordero y Bernal|||1990|21|Plano y fotos|
||||Statistics Concerning Indian Education|||Primera|||Lawrence, Kansas.|Haskell Indian Junior College|||1976|39|Cuadros|
Majchrzak|Irena|||Cartas a Salomón. Reflexiones acerca de la Educación Indígena|||Primera|||México|SEP|||1982|132||
Burnet|Mary|||La batalla de la alfabetización|||Primera|||Fontenoy, París|UNESCO|||1965|69|Cuadros|
||||Anales del Museo Nacional de México|||Primera|||México, D.F|INAH|||2003|87||
Meneses|Ernesto|||El código educativo de la compañía de Jesús|||Primera|||México, D.F|Universidad Iberoamericana|||1988|73||
||||Programa para la modernización de la educación indígena|||Primera|||Chihuahua||||1990-1994|60|Cuadros|
||||Fundamentos para la modernización de la educación indígena|||Primera|||México, D.F|SEP|||1990|55||
||||Microplaneación regional educativa|||Primera|||Pachuca, Hgo.||||1982|200|Cuadros|
Escorza Rodríguez|Daniel|||Guía general del Archivo Histórico del Convento de Churubusco|||Primera|||México, D.F|INAH|Colección Fuentes||1999|330|Cuadros|
De Piña Chán|Beatriz Barba|||Caminos terrestres al cielo|||Primera|||México, D.F|INAH|Colección Científica||1998|182|Fotos, ilustraciones y mapas|
||||Del dicho al hecho…Transgresiones y pautas culturales en la Nueva España|||Segunda|||México, D.F|INAH|Colección Científica||1999|184|Cuadros|
||||Anales primer centenario 1977-1976|VI||Primera|||México|INAH-SEP|||1976|287|Cuadros, fotos y mapas|
Bastide |Roger|||Cuadernos del Seminario de Integración Social Guatemalteca|||Primera|||Guatemala|"Editorial del Ministerio de Educación Pública ""José Pineda Ibarra"""||3|1959|36||
D. Paul|Benjamin|||Cuadernos del Seminario de Integración Social Guatemalteca|||Primera|||Guatemala|"Editorial del Ministerio de Educación Pública ""José Pineda Ibarra"""||Número extraordinario|1959|67||
Mendelson|Michael|||Cuadernos del Seminario de Integración Social Guatemalteca|||Primera|||Guatemala|"Editorial del Ministerio de Educación Pública ""José Pineda Ibarra"""||6|1959|21||
De Borhegyi|Stephan F.|||Cuadernos del Seminario de Integración Social Guatemalteca|||Primera|||Guatemala|"Editorial del Ministerio de Educación Pública ""José Pineda Ibarra"""||5|1959|31||
Reina|Ruben E.|||Cuadernos del Seminario de Integración Social Guatemalteca|||Primera|||Guatemala|"Editorial del Ministerio de Educación Pública ""José Pineda Ibarra"""||4|1959|28||
