Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Anzaldo Figueroa|Rosa Elena||Los sistemas de parentesco de la Huasteca. Un estudio etnolingüístico.|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica||2000|236 pp.|Mps - Cuad|
Basauri|Carlos||Tojolabales, tzeltales y mayas|||Primera|||México|UNICACH - Gobierno del estado de Chiapas|||1931|163 pp.|Fts - Cuad|
Cifuentes|Bárbara||Lenguas para un pasado, huellas de una nación. Los estudios sobre lenguas indígenas de México en el siglo XIX.|||Primera|||México|Plaza y Valdés Editores - Consejo Nacional para la Cultura y las Artes - Instituto Nacional de Antropología e Historia.|||2002|112 pp.||
Grosser Lerner|Eva||Los tenek de San Luis Potosí. Lengua y contexto.|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica||1991|92 pp.|Fts - Mps|
Kottak|Conrad Phillip||Antropología. Una exploración de la diversidad humana con temas de la cultura hispana.|||6a.||Trad. Por José C. Lisón Arcal, et. al.|Madrid|McGraw Hill|||1994|536 pp.|Fts - Cuad - Mps|
|INEGI||Yucatán. Resultados definitivos tabulados básico|I||Primera|||México |INEGI|||1991|654 pp.|Cuad|
Gutiérrez Gutiérrez|Donaciano|Josefina Gutiérrez Tripp|Los tarahumaras|||Primera|||México|Instituto Nacional de Antropología e Historia|||1992|264 pp.|Fts - Mps|
Jáuregui|Jesús|Carlo Bonfiglioli|Las danzas de conquista I. México contemporáneo.|||Primera|||México|Consejo Nacional para la Cultura y las Artes - Fondo de Cultura Económica|Las danzas de conquista|I|1996|461 pp.|Ilus - Cuad|
Corrêa de Oliveira|Plinio||Nobleza y élites tradicionales análogas en las alocuciones de Pío XII al patriciado y a la nobleza romana.|||2a.||Trad. Por Luis Alberto Blanco Cortés|Madrid|Fernando III El Santo|||1993|327 pp.|Fts - Cuad|
|INEGI||XIV Censo industrial, XI censo comercial y XI censo de servicios. Censos económicos 1994. Sonora.|||Primera|||Aguascalientes|INEGI|||1995|257 pp.|Cuad|
Abreu Gómez|Ermilio||Leyendas y consejas del antiguo Yucatán|||4a.|||México|Fondo de Cultura Económica|Popular|599|2001|262 pp.||
|INEGI||XIV Censo industrial, XI censo comercial y XI censo de servicios. Censos económicos 1994. Tamaulipas.|||Primera|||Aguascalientes|INEGI|||1995|241 pp.|Cuad|
Castellanos Guerrero|Alicia|Gilberto López Rivas|Primo Tapia de la Cruz, un hijo del pueblo|||Primera|||México|Centro de Estudios Históricos del Agrarismo en México|Precursores del agrarismo|3|1991|69 pp.|Ilus - Fts|
Secretaría de la Reforma Agraria en Oaxaca|||Memorial de Linderos. Gráfica agraria de Oaxaca.|||Primera|||México|Instituto de Artes Gráficas de Oaxaca|||1997|71 pp.|Fts - Mps|
Esteva Fabregat|Claudio||Los indios de México en la sociedad nacional mexicana|||Primera|||México|Instituto de Cooperación Iberoamericana|Cuadernos hispanoamericanos||1991|154 pp.|Fts|
Anguiano|María Eugenia||Emigración laboral captada en la frontera norte mexicana: el caso de los guanajuatenses.|||Primera|||Tijuana|El Colegio de la Frontera Norte|||1997|15 pp.|Cuad|
Instituto Nacional Indigenista|||Proyecto de declaración americana sobre los derechos de los pueblos indígenas|||Primera|||México|Instituto Nacional Indigenista|||1997|14 pp.||3
|||Cursos introductorios a las licenciaturas de la Escuela Nacional de Antropología e Historia|||Primera|||México|Escuela Nacional de Antropología e Historia|||1998|214 pp.|Ilus - Fts - Cuad - Mps|
López Cortes|Ignacio||Frontera norte, espacio límite creador de identidad. Tesis para optar por el grado de maestro en Antropología Social.|||Primera|||México|Escuela Nacional de Antropología e Historia|||1996|186 pp.||
Zabin|Carol||Migración oaxaqueña a los campos agrícolas de California: un diálogo|||Primera|||San Diego|Center for U.S.-Mexican Studies|||1992|78 pp.|Cuad|
|||Comisión pesquisadora frontera norte XIX|||Primera|||México|Comisión Pesquisidora de la Frontera Norte||||135 pp.||
Acevedo|María Luisa|Margarita Nolasco|Educación indígena|||Primera|||México|Instituto Nacional de Antropología e Historia|Cuaderno de trabajo|33|1986|83 pp.||
|||Programa Encuentros Indígenas por la Paz. Primer encuentro regional Pueblos Nahuas|||Primera|||México|Instituto Nacional Indigenista - Fundación Rigoberta Menchú Tum|Encuentros Indígenas por la Paz|I|1998|86 pp.|Cuad|
|||Propuesta de iniciativa de ley de derechos de los pueblos y comunidades indígenas del estado de Oaxaca|||2a.|||Oaxaca|Gobierno del Estado de Oaxaca|||1998|27 pp.||
García|Fernando||Guía para la prevención y documentación de abuso|||2a.|||Texas|Immigration Law Enforcement Monitoring Project of El Paso|||1999|15 pp.|Ilus - Cuad|
