Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Colombres|Adolfo||La hora del 'bárbaro'|||Primera|||México|Premia Editora|Cultura popular||1982|343 pp.|Ilus - Cuad|
Sánchez García|José Hermenegildo||Crónica del Nuevo Santander|||Primera|||Tamaulipas|Universidad Autónoma de Tamaulipas - Editorial Jus|||1977|229 pp.||
Altamirano|Graziella|Guadalupe Villa|Chihuahua. Textos de su historia 1824-1921|2||Primera|||México|Gobierno del Estado de Chihuahua - Instituto de Investigaciones Dr. José María Luis Mora - Universidad Autónoma de Ciudad Juárez|Historia general de Chihuahua|2|1988|541 pp.||
Ferrari Bono|Bruno V.||Los altos de Chiapas|||Primera|||México|Patronato Fray Bartolomé de las Casas|||1982|32 pp.|Fts|
Arias G.|Ma. Eugenia|et. al.|Tabasco: una historia compartida|||Primera|||Villahermosa|Instituto de Investigaciones Dr. José María Luis Mora - Gobierno del Estado de Tabasco|||1987|484 pp.|Mps|
Garduño Cervantes|Julio||El final del silencio. Documentos indígenas de México.|||Primera|||México|Premia Editora - Ediciones del Centro Cultural Mazahua|Cultura popular||1983|217 pp.||
Fort|Odile||La colonialización ejidal en Quintana Roo|||Primera|||México|Instituto Nacional Indigenista|Investigaciones sociales|7|1979|281 pp.|Cuad - Mps|
Acevedo|María Luisa|Iván Restrepo|Los valles centrales de Oaxaca|||Primera|||México|Centro de Ecodesarrollo - Gobierno de Oaxaca|||1991|173 pp.|Cuad - Mps|
Hernández Díaz|Jorge||Los chatinos. Etnicidad y organización social.|||Primera|||Oaxaca|Universidad Autónoma Benito Juárez de Oaxaca - Gobierno del Estado de Oaxaca|Del barro nuestro||1992|231 pp.|Fts - Cuad|
Shari'ati|Ali||On the sociology of Islam|||Primera||Trad. por Hamid Algar|Berkeley|Mizan Press|||1979|125 pp.||
Hernández Díaz|Jorge|Jesús Lizama Quijano|Cultura e identidad étnica en la región Huave|||Primera|||Oaxaca|Universidad Autónoma Benito Juárez de Oaxaca - Instituto de Investigaciones Sociológicas||||206 pp.|Fts - Mps|
Gutiérrez|David G.||Walls and mirrors. Mexican americans, mexican immigrants and the politics of ethnicity|||Primera|||Estados Unidos|University of California Press|||1995|320 pp.||
|||Cuatro décadas de la Escuela Nacional de Antropología e Historia|||Primera|||México|Escuela Nacional de Antropología e Historia - Instituto Nacional de Antropología e Historia|Cuicuilco||1982|180 pp.||
Ruiz|Luis Bruno||La danza que me dejó su huella|||Primera|||México|Instituto Nacional de Bellas Artes|||1991|92 pp.|Fts|
Wolf|Eric||Pueblos y culturas de Mesoamérica|||4a.||Trad. por Felipe Sarabia|México|Ediciones Era|||1977|250 pp.|Ilus - Mps|
Vergara Figueroa|César Abilio|et. al.|Yo no creo, pero una vez... Ensayos sobre aparecidos y espantos|||Primera|||México|CNCA - JGH Editores|||1997|126 pp.|Ilus - Fts|
|||Tercera mesa redonda de Palenque|||Primera|||Palenque||||1999|48 pp.|Cuad|
Río Lugo|Norma del||La infancia vulnerable de México en un mundo globalizado|||Primera|||México|Universidad Autónoma Metropolitana - Fondo de las Naciones Unidas para la Infancia|||2001|193 pp.|Fts - Cuad - Mps|
Pérez Zevallos|Juan Manuel||Xochimilco ayer|I||Primera|||México|Gobierno del Distrito Federal - Instituto de Investigaciones Dr. José María Luis Mora|||2002|144 pp.|Fts - Mps|
Briggs|John|F. David Peat|Las siete leyes del caos|||Primera||Trad. por Dimas Mas|Barcelona|Grijalbo|||1999|235 pp.||
Instituto Nacional Indigenista|||Estado del desarrollo económico y social de los pueblos indígenas de México|1||Primera|||México|Instituto Nacional Indigenista - Programa de las Naciones Unidas para el Desarrollo|||2000|550 pp.|Ilus - Cuad - Mps|
Instituto Nacional Indigenista|||Estado del desarrollo económico y social de los pueblos indígenas de México|2||Primera|||México|Instituto Nacional Indigenista - Programa de las Naciones Unidas para el Desarrollo|||2000|880 pp.|Ilus - Cuad - Mps|
Cervantes Delgado|Roberto||Tristes triques. Un diario de campo en la mixteca de la sierra.|||Primera|||México|Instituto Nacional de Antropología e Historia|Obra diversa||1999|116 pp.|Fts - Mps|
|||Propuesta de iniciativa de ley de derechos de los pueblos y comunidades indígenas del estado de Oaxaca|||2a.|||Oaxaca|Gobierno del Estado de Oaxaca|||1998|27 pp.||
|||117° calendario del más antiguo Galván para el año de 2003|||Primera|||México|Antigua Librería de Murguía|||2002|228 pp.|Cuad|
Jiménez|Nora Edith||Francisco López de Gómara. Escribir historias en tiempos de Carlos V|||Primera|||México|El Colegio de Michoacán - Consejo Nacional para la Cultura y las Artes - Instituto Nacional de Antropología e Historia|||2001|391 pp.|Ilus|
