Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Gándara |Arturo|||Chicanos y extranjeros ilegales. La conjunción de sus derechos constitucionales frente al estado norteamericano||XVIII|Primera|||México|El Colegio de México||3|1978|480-493||
San Juan Victoria|Carlos|||La novedad de los antiguos: promesa y retos del resurgir de los pueblos como actores políticos|||Primera|||México, D.F|INI|||1996|32|Ilustraciones|
Salazar Monroy||||La ciudad sagrada de Cholula|||Primera|||[México]||||2012|51|Ilustraciones|
Cuellar Bernal |Rene|||Tlaxcala a través de los siglos|||Primera|||México, D.F|B. Costa-AMIC Editor|||1968|277|Cuadros, fotos e ilustraciones|
Ortega Noriega|Sergio|||El edén subvertido. La colonización de Topolobambo 1886-1896|||Primera|||México|SEP-INAH|||1978|256|Mapas e ilustraciones|
Amaya Topete|Jesús|||Cholula: Ciudad Sagrada |||Primera|||México|Centro de Estudios Históricos de Puebla|||1961|50||
Assadourian|Carlos S.|||Modos de producción, capitalismo y subdesarrollo en América Latina|||Primera|||Buenos Aires|Ediciones Nueva Visión|||1973|65||
Apalategi|Joxemartin|||Introducción a la historia oral|||Primera|||Barcelona, España|Editorial Anthropos|||1987|272|Ilustraciones|
Guiteras Holmes|C.|||Los peligros del alma|||Primera||Trad. Por Carlo Antonio Castro|México, D.F|Fondo de Cultura Económica|||1965|310|Cuadro e imagen|
Acosta|Manuel G.|||Canto y grito mi liberación |||Primera|||New York|Anchor Books|||1973|159|Ilustraciones|
Mair|Lucy|||Matrimonio|||Primera||Trad. Por Elena Póliza|Barcelona, España|Barral Editores|||1974|253||
Rosas Solaegui|Guillermo|||Multicosas de Oaxaca|||Primera|||[México]|[Guillermo Rosas Solaegui]||||261||
Danbolt Drage|Live|||Encuentro de cosmovisiones|||Primera|||Quito, Ecuador|Ediciones Abya-Yala|||1997|214||
Agulla|Juan Carlos|||Teoría Sociológica|||Primera|||México|Instituto de Investigaciones Sociales de la Universidad Nacional |||1965|155||
Archer|Margaret S.|||Cultura y teoría social|||Primera||Trad. Por Horacio Pons|Buenos Aires|Ediciones Nueva Visión|||1997|361||
Trejo|Arnulfo D.||Editor|The Chicanos as we see ourselves|||Primera|||Tucson, Arizona|The University of Arizona Press|||1979|221|Ilustraciones|
París Pombo|María Dolores |||Oligarquía. Tradición y ruptura en el centro de Chiapas|||Primera|||México, D.F|UAM- Demos, Desarrollo de Medios|||2001|161|Fotos|
||||Nicaragua, Costa Atlántica|||Primera|||México, D.F|CADAL-CIESAS|||1987|150||
||||Sonora-Resultados definitivos VII censo ejidal|||Primera|||Aguascalientes, Ags.|INEGI|||1994|87 [8]|Mapas y cuadros|
||||Nuevo León-Resultados definitivos VII censo ejidal|||Primera|||Aguascalientes, Ags.|INEGI|||1993|53 [8]|Mapas y cuadros|
||||Coahuila-Resultados definitivos VII censzo ejidal|||Primera|||Aguascalientes, Ags.|INEGI|||1994|53 [8]|Mapas y cuadros|
||||Chihuahua-Resultados definitivos VII censo ejidal|||Primera|||Aguascalientes, Ags.|INEGI|||1994|85 [8]|Mapas y cuadros|
||||Chiapas-Resultados definitivos VII censo ejidal|||Primera|||Aguascalientes, Ags.|INEGI|||1994|123[8] |Mapas y cuadros|
Gutiérrez |Soledad Flora|||Interacción social de los migrantes: Iztapalapa|||Primera|||México, D.F|INAH-SEP|||1996|176|Cuadros|
|| ||Carlos Salinas de Gortari Sexto Informe de Gobierno|||Primera|||México, D.F|Presidencia de la República-Poder Ejecutivo Federal|||1994|784|Cuadros|
López Portillo|José|||Estado de Hidalgo|||Primera|||[México, D.F]|PRI||||75 [10]|Cuadros y mapas|
Lévy-Bruhl|Henri|||Sociología del derecho|||Primera||Trad. Por Myriam de Winizky|Buenos Aires|EUDEBA||93|1964|61||
||||Chiapas-Resultados definitivos. Tabulados básicos XI Censo General de población y vivienda 1990|I||Primera|||Aguascalientes, Ags.|INEGI|||1991|242|Cuadros|
Weaver|Tomas|Theodore E. Downing|Editores|Mexican Migration|||Primera|||Tucson, Arizona|University of Arizona|||1976|241|Cuadros y mapas|
||||Las otras aguas|||Primera|||México, D.F|CIESAS|||1994|113|Fotos|
Barabas|Alicia M.||Coordinadora|Diálogos con el territorio|||Primera|||México, D.F|INAH|||2003|399|Cuadros e ilustraciones|
Barabas|Alicia M.||Coordinadora|Diálogos con el territorio|III||Primera|||México, D.F|INAH|||2003|398|Cuadros, fotos y mapas|
Cone|Cynthia A.|Pertti J. Pelto||Guía para el estudio de la antropología cultural|||Primera|||Madrid, España|Fondo de Cultura Económica|||1977|179|Cuadros|
||||Diccionario enclicopédico Hachette Castell|||Primera|||[España]|Ediciones Castell||8|1981|1441-1648|Fotos y cuadros|
||||Diccionario enclicopédico Hachette Castell|||Primera|||[España]|Ediciones Castell||12|1981|2273-2462|Fotos, cuadros, mapas|
Hamlyn|Paul|||An illustrated History of Medicine|||Primera|||Italy|The Hamlyn Publishing Group|||1967|319|Fotos|
||||San Juan de Ulua 1953|||Primera|||Veracruz|SEP|||1953|60|Foto|
||||Estudios y Documentos de la Región de Puebla-Tlaxcala|||Primera|||Puebla, Puebla|Universidad Autónoma de Puebla|||1969|70|Ilustraciones|
