Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad|
Savelle|Max|||Program of the history of America|II||Primera|||México, D.F|Editorial Cultura||159|1953|222|||
||||Pueblos del mundo, unios, por la prohibición y destrucción completa, definitiva, cabal y resuelta de las armas nucleares|||Primera|||Pekín|Édiciones en Lenguas Extranjeras|||1963|221|||
Friedrich|Carl J.|||Introducción a la teoría política|||Primera|||México, D.F|Editorial Roble|||1969|182|||
||||Che Guevara: Guerrilla Warfare|||Primera|1969||Victoria, Australia|Penguin Books|||1969|142|||
Echánove Trujillo|Carlos A.|||Manual del extranjero|||Primera|||México, D.F|Editorial Porrúa|||1970|260|||
|Lenin|||El imperialismo, fase superior del capitalismo|||Primera|||Moscú|Editorial Progreso|||1966|130|Cuadros||
Il Sung|Kim|||Informe sobre labores del comité central, presentado ante el quinto congreso del partido del trabajo de Corea|||Primera|||Pyongyang, Corea|Ediciones en Lenguas Extranjeras|||1970|184|Foto||
Pimentel Aguilar|Ramón|||Espionaje Norteamericano en México|||Primera|||México, D.F|Editorial Posada|||1975|157|||
||||!Expulsar de Asia el imperialismo de los EE.UU.!|||Primera|||Pekín|Ediciones en Lenguas Extranjeras|||1960|51|Foto||
Fuentes|Carlos|||Por un progreso incluyente|||Primera|||México, D.F|IEESA-CEA|||1997|126|||
Easton|David||Compilador|Enfoques sobre teoría política|||Primera||Trad. Por José Rovira Armengol|Buenos Aires, Argentina.|Amorrortu Editores|||1969|233|||
Galeano|Eduardo|||Guatemala, país ocupado|||Primera|||México, D.F|Editorial Nuestro Tiempo|Colección Latinoamerica hoy||1967|129|||
