Nombre del autor|Traducción|Título del libro|Lugar de edicion|Editorial -les|Año|Páginas|Formato|Colección|Edición|Tomo|Tema|Imprenta|Palabras Clave|Referencias
De la parra mercedes||Recetas prácticas de cocina |Guadalajara Jal.||1949|141|4.5x6.5 pulg||Cuarta||Cocina|Gráfica|Equivalencias, sopas, sopas secas y huevos, pescados, aves, carnes, pasta para sandwichs, diversos guisados, tamales y legumbres, salsas y ensaladas, atoles, dulces y puding, reposteria, ponches, refrescos, gelatinas y helados|Recetas prácticas de cocina y menús arregladas por la profesora Mercedes de la Parra
De la parra mercedes||Recetas prácticas de cocina |Guadalajara Jal.|Editorial Font, S.A.|1983|155|4.5x6.5 pulg||Sexta||Cocina|Triunfo|Equivalencias, sopas, sopas secas y huevos, pescados, aves, carnes, pasta para sandwichs, diversos guisados, tamales y legumbres, salsas y ensaladas, atoles, dulces y puding, reposteria, ponches, refrescos, gelatinas y helados|Recetas prácticas de cocina y menús arregladas por la profesora Mercedes de la Parra
De la Viña Dionisio||El libro del buen comer|México|Editorial Nueva España S.A.|1944|273|4.5x6.5 pulg||||Cocina|Talleres de la Editorial Tollocan|La cocina a traves de la historia, El desayuno, la merienda, combinando una comida, los vinos, los menus, los banquetes, los convites, filosofia del gusto, el tabaco, alimentos de origen animal, alimentos de origen vegetal, las vitaminas, entremeses, las salsas, sopas, pastas italianas, huevos, pescado y mariscos, carnes, polleria y caza, legumbres y verduras, postres|Noticias sobre los alimentos, reglas de etiqueta, consejos higienicos, docenas de menus, centenares de recetas, lo mas selecto de la cocina exttranjera, lo mejor de la cocina mexicana, vade-mecum del buen gastronomo
De Olagaray Maria Antonieta M.||La cocina práctica al alcance de las masas proletarias |Tuxtla Gutierrez, Chis||1939|171|8x5.5 pulg||||Cocina|Talleres linotipograficos del Gobierno del Estado |Consomes, sopas, huevos, pescados, pollos, legumbres, carnes, ensaladas, platillos, salsas, guarniciones, platillos variados, postres, helados, cocktails, licores, reposteria|
De Zárate Lilia C.||La licuadora waring presenta La cocina mexicana|México|Comercio mundial S.A. de C.V.||76|6.5X4 pulg||||Cocina||Sopas, guisos, salsas, pastas, sandwiches, tortas, budines, dulces, refrescos, verduras, frutas, leches, malteadas, nieves, cubiertos de pastel, bebidas, coctels|Indicaciones para el manejo de la licuadora waring blendor 
Del Castillo María||Cocina Mexicana|México|Olimpo|1966|143|7.5x5.5 pulg||Quinta||Cocina|Talleres Gráficos Olimpo|Sopas, almejas, avena, tortilla, chicharos, chile, cebollas, crema, elote, flor, calabaza, gallina, higaditos, jaibas, jamón, ostiones, perejil, queso, pescado, papas, tallarines, tortuga, verduras, arroz, calamares, camarones, jaibas, guisado, ensalada, tortas, camote, chayotes, chicharos, ejote, elote, coliflor, aguacate, col, potaje, garbanzos, puré, zanahorias, salsas, huevos, carnes, aves, mariscos, moles, antojitos  |Este libro de cocina no es una simple colección de recetas, sino una verdadera guía para comer bien y conservar la salud.
Del Moral Soledad||Haciendo Hogar|Morelia Michoacán||1937|151|5.5x8.5 pulg||||Cocina|Imprenta Londres |Los deberes de una ama de casa, la cocina, su instalación y su aseo, algunos terminos de cocina, la despensa, cuentas, ahorro y compras, principales formas de cocimientos de carnes, pescados y verduras, pesas y medidas, la calidad de la carne, aves y pescados, condimentos y su objetivo estimulante, lo que necesita el organismo humano, la buena y mala alimentación, el agua y los contagios, la alimentación de los enfermos, la educación de la mujer y su influencia en la sociedad, algo sobre el servicio y urbanidad de la mesa, sección de cocina española, sección de cocina americana, sección de cocina francesa, suplemento con la tradicional comida mexicana especial de michoacan, dulces, procedimiento para helar, unos cuantos ponches, refrescos, vinos y licores, algunas formulas probadas de uso domestico.|"Manojo de sugestiones, recetas, experiencias y pequeñas instrucciones.     Responder a la necesidad que tiene la mujer de cumplir con tan noble misión, he aquí el objeto de este libro, cuyo título lo resume todo. ""Hacer Hogar""."
Del Moral Soledad||Haciendo Hogar|Morelia Michoacán||1940|151|5.5x8.5 pulg||Segunda||Cocina|Imprenta Londres |Los deberes de una ama de casa, la cocina, su instalación y su aseo, algunos terminos de cocina, la despensa, cuentas, ahorro y compras, principales formas de cocimientos de carnes, pescados y verduras, pesas y medidas, la calidad de la carne, aves y pescados, condimentos y su objetivo estimulante, lo que necesita el organismo humano, la buena y mala alimentación, el agua y los contagios, la alimentación de los enfermos, la educación de la mujer y su influencia en la sociedad, algo sobre el servicio y urbanidad de la mesa, sección de cocina española, sección de cocina americana, sección de cocina francesa, suplemento con la tradicional comida mexicana especial de michoacan, dulces, helados,  procedimiento para helar, unos cuantos ponches, refrescos, vinos y licores, algunas formulas probadas de uso domestico.|"Manojo de sugestiones, recetas, experiencias y pequeñas instrucciones.     Responder a la necesidad que tiene la mujer de cumplir con tan noble misión, he aquí el objeto de este libro, cuyo título lo resume todo. ""Hacer Hogar""."
Díaz Torres Bertha||"Autenticas recetas de arroz con el auténtico arroz de Jojutla Morelos molino de ""San Jose"""|Jojutla|Buena vista|||5.5x8.5 pulg||||Cocina|Buena vista|Arroz, jojutla, chuletas, croquetas, costillas, sopa, cacahuates, carne, puerco, chiles, salsa, bolognesa, tarta, molino|El molino de arroz San José enclavado en el lugar que vió nacer al arroz en Morelos hace mas de 150 años, es el más antiguo en el Estado, ya que desde 1937 ofrece a los conocedores de la buena cocina el mejor arroz del mundo. 
Dueñas Flores Mariano (textos)||30 recetas de platillos populares mexicanos elote|México|Compañía Nacional de Subsistencias populares |1971||8.5x6.5 pulg|Conasupo|||Cocina|Talleres Gráficos de la Nación|Elote, sopa, crema, calabacitas, arroz, rajas, chile, poblano, rellenos, longaniza, papas, nieve, gorditas, piloncillo, budin, tortillas, nata, tamales, queso, pozole, sopitas, dulces, ensalada, atole, uchepos, esquites, huevos, leche|El elote es el fruto del maíz sin madurar aún, ingrediente de incontables platillos mexicanos de fácil confección, a más de sabroso, nutritivo y económico.
Velázquez de León Josefina (textos)||30 recetas de platillos populares mexicanos huevo fresco|México|Compañía Nacional de Subsistencias populares |||8.5x6.5 pulg|Conasupo|||Cocina|Talleres Gráficos de la Nación|Huevos enfrijolados, tocino, camarón, tortilla de huevo rellena de calabacitas, huevos en salsa blanca, con puré de frijol, tortilla de huevo a la española, huevos estrellados con nata, huevos pasados por agua, huevos sorpresa, con jamón, al horno con salsa de jitomate, huevos ponche con mantequilla, huevos a la vinagreta, en rabo de mestiza, al plato, con espinacas, huevos criollos, rancheros, bandera mexicana, en nidito, con jamón endiablado, revueltos con verduras, estilo poblano, revueltos con chorizo, revueltos a la mexicana, con nata, con chicharos, con chorizo y papas, tortilla de huevo rellena de chocolate|Recetas de platillos populares confeccionados con huevo fresco 
Dueñas Flores Mariano (textos)||30 recetas de platillos populares mexicanos Jitomate|México|Compañía Nacional de Subsistencias populares |1971||8.5x6.5 pulg|Conasupo|||Cocina|Talleres Gráficos de la Nación|Jitomate, caldillo, pure, sopa, tortilla, lenteja, fideo, frijol, cebolla, pescado, arroz, pastas, salsa, crema, mexicana, durangueña, chile, pasilla, chipotle, asado, naranja, tuetano, tostadas, chapandongos, sopes, serranitos, ceviche, chicharron, pancita, adobo, enjitomatadas, ayocotes, guisados, budin, cuitlacoche, gelatina|De las numerosas aportaciones botánicas que México dio al mundo, el jitomate ocupa un lugar preferente.
ETA Grupo Cuernavaca de ALPHA DELTA KAPPA|Rodolfo Tripp / Pilar Garcia|La esencia de la cocina mexicana|Cuernavaca||2007|233|6.5x8 pulg||||Cocina|Nativo diseño|Tortillas, chiles, salsas, antojitos, huevos, sopa, ensaladas, verduras, pescado y mariscos, pollo, carne de res, carne de cerdo, arroz, frijoles y pasta, postres, bebidas |Colección de recetas mexicanas que son fáciles de preparar y que utilizan ingredientes que se pueden encontrar en los EEUU y en otros lados. Nuestro recetario bilingüe comparte la cultura culinaria de México con anglo e hispano hablantes.
Galvan Mariano||El cocinero mexicano|México||1831|428|4x6 pulg|Colección de las mejores recetas para guisar al estilo americano y de las mas selectas según el metodo de las cocinas española, italiana, francesa e inglesa|unica|III|Cocina|Galvan |Masas, pasteles, empanadas, pastelillos, buñuelos, bizcochos, hojuelas, reposteria, tortas, pudines, dulces, pan, maiz, jaletinas, gatos, cremas, postres, compotas, conservas, cajetas, jarabes, licores, ratafias, helados, sorbetes, cremas, aceites, chicha, pulques|Con los procedimientos mas sencillos para la fabricación de masas, dulces, licores, helados y todo lo necesario para el decente servicio de una buena mesa
Galvan Mariano||El cocinero mexicano|México||1831|323|4x6 pulg|Colección de las mejores recetas para guisar al estilo americano y de las mas selectas según el metodo de las cocinas española, italiana, francesa e inglesa|unica|II|Cocina|Galvan |Preparación, guisos, carnes, cuadrupedos, buey, vaca, ternera, carnero, cordero, cabrito, cerdo, aves, pescado, |Con los procedimientos mas sencillos para la fabricación de masas, dulces, licores, helados y todo lo necesario para el decente servicio de una buena mesa
Galvan Mariano||El cocinero mexicano|México||1831|314|4x6 pulg|Colección de las mejores recetas para guisar al estilo americano y de las mas selectas según el metodo de las cocinas española, italiana, francesa e inglesa|unica|I|Cocina|Galvan |Sopas, frituras, aderezos, ensaladas, salsas, caldillos, huevos, almuerzos, guisos, legumbres, tortas, cocidos, tamales|Con los procedimientos mas sencillos para la fabricación de masas, dulces, licores, helados y todo lo necesario para el decente servicio de una buena mesa
