Nombre del autor|Traducción|Título del libro|Lugar de edicion|Editorial -les|Año|Páginas|Formato|Colección|Edición|Tomo|Tema|Imprenta|Palabras Clave|Referencias
||Almanaque dulce|México|La Unión Nacional de Productores de Azúcar, S.A.|1965|74|7.5x5 pulg||||Cocina||Sopas, crema, elote, jitomate, espinacas, zanahorias, chicharos, frutas, cereza, carnes, aves, asado, puerco, cacahuates, lomo, aceitunado, jamón, vino, ternera, pollo, pato, chop suey, pescados, pastel, atún, camarones, mole, poblano, chiles, nogada, tamales, empanadas, manteca, ensaladas, verduras, frutas, limón, piña, budin, camote, garbanzo, frituras, coles, berenjenas, salsas, mayonesas, aderezos, jalea, postres, mermelada, duraznos, frambuesas, pasta, cocada, naranja, helado, mango, chocolate, magdalenas, croquetas, orejillas, envueltos, tarta, dulce, pastel, nieve, mamey, compota,, pera, fresas, cerrezas, almendras, moka, manzanas, chongos, cocteles, bebidas, alcohol, refresco, horchata, melón, albaricoque, rompope, ponche, ciruela, frambuesa, menta, martini, tequila|La Unión Nacional de Productores de Azúcar, S.A., pone nuevamente en sus manos el Almanaque dulce, que ya como una tradición, elaboramos cada año para usted. 1968 es el año olimpico de México y por tal motivo incluimos un recetario de reposteria internacional.
||Almanaque dulce|México|La Unión Nacional de Productores de Azúcar, S.A.|1968||7.5x5 pulg||||Cocina||Rosquillas, tortilla, alfajor, dulce, leche, arroz, pie, chocolate, coco, souffle, crepes, panecillos, anis, queso, datiles, crema, pastel, pudding, cake, torrejas, greybi, charlotta, frutas, bisquit, budin|La Unión Nacional de Productores de Azúcar, S.A., pone nuevamente en sus manos el Almanaque dulce, que ya como una tradición, elaboramos cada año para usted. 1968 es el año olimpico de México y por tal motivo incluimos un recetario de reposteria internacional.
||30 recetas de platillos populares mexicanos pastas para sopa|México|Compañía Nacional de Subsistencias populares |1972||8.5x6.5 pulg|Conasupo|||Cocina|Talleres Gráficos de la Nación|Espagueti, frijoles, huevo, macarrón, higaditos, almejas, norteña, salsa, horno, dorados, canelones, moreliano, vigilia, almendras, sopa, tallarines, crema, atún, pollo, sardinas, salchichas, tocino, sesos, camarones, ternera, espinacas, ejotes, cuaresma, gratin|Las amas de casa mexicanas tienen una muy particular y muy variada manera de hacer las sopas, y es que la necesidad y el ingenio se unen para que ellas realicen platillos de poco costo y exquisito sabor. Este tipo de platillos son de fácil condimento y sazón, en este cuaderno incluimos recetas que tienen como base el espagueti, macarrones y tallarines.
||Guía de cocina |México||1967|32|7.5x5 pulg||||Cocina||Sopa, cebolla, budín, pescado, pasta, bocaditos, empanadillas, palitos, tartaletas, pavo, especias, guisado, res, fritos, botana, langosta, pollo, almendras, bistec, osso, buco, helado, malteada, mieles, leche, cajeta, aderezo, ensaladas, camarones, ternera, soufflé, limón, pastel, chocolate, vienés, torta, moca, crema, mango, charlotte  |Enseña con fotografías explica con recetas como hacer los platillos más famosos del mundo Selección especial de anuncios publicada en Selecciones del Reader´s Digest 
||Formulas para hacer bizcochos tamales y atole|Puebla|Nixtamalina||18|6.5x4.5 pulg||||Cocina|La enseñanza|Atole, bizcochos, tamales, huevo, mole, sopa, molletes, panques, naranja, jocoqui, rosquitas, queso, bollos, pastelitos, mermelada, té, mantequilla, pan, pasas, ciruelas, almendras, molletes, |Nixtamalina harina de nixtamal para atole, tamales, bizcochos 
||Recetas de cocina|México|Benet Hermanos |1932|80|6.5x4.5 pulg||Segunda||Cocina||Entremeses, sopas, arroz, huevos, verduras, ensaladas, pescados, carnes, aves, salsas, postres, |Las recetas de cocina que contiene este libro en su mayoría son copia exacta del libro de propaganda, que a las damas de la América Latina que visitaron Barcelona en su exposición internacional, les obsequiaban en sus visitas al pabellón del Comité de la Exposición del aceite Español en Barcelona 1929-1930
||Almanaque dulce|México|La Unión Nacional de Productores de Azúcar, S.A.|1962|98|5.5x8 pulg||||Cocina||Envinados, turrones, dulce, budin, postre, crema, mantequilla, mecas, refrescos, pan, queso, higo, flan, nata, napolitano, turron, panquesito, galletas, azucar, requeson, pastel, datiles, budin, jarabe, polvoron, panesitos, zandillete, buñuelos, torta, ate, orejones, crema, caramelo, gorditas |La Unión Nacional de Productores de Azúcar, S.A., Recetas, secciones especializadas y artículos diversos llevan la intención de deleitarles.
||Almanaque dulce|México|Azúcar, S.A.|1938|98|6.5x8.5 pulg||||Cocina||Dulces, buñuelos, tortas, ante, cocktails, bebidas, refrescantes, helados, sorbetes, budines, empanadas, chongos, mazapanes, cakes, licores, caramelos, chocolate, pastillas, confituras, paletas, heladas, postres, flanes, carlotas, souffles, gelatinas, tostadas, cremas, nieves, compotas, cajetas, mermeladas, huevos, jaleas, conservas, galletas, pastelitos, reposteria|Deliciosos dulces que la cocina mexicana conserva religiosamente como una tradición
||Deluxe Osterizer Recetario|México||1956|48|9x6 pulg||||Cocina||Entremeses, alimentos bebidas, postres, panes, betunes, sopas, salsas, ensaladas, platillos|Este libro es solo el principio, su propia experiencia le mostrará los muchísimos usos de osterizer, ud. Misma desarrollará nuevas ideas para sus platillos. Descubrirá que puede mejorar sus viejas recetas favoritas prepararlas con menos trabajo, mayor rapidez y con mejores resultados.
||Almanaque dulce|México|La Unión Nacional de Productores de Azúcar, S.A.|1941|92|6.5x8.5 pulg||||Cocina||Postres, dulce, recetas, budines, flanes, gelatinas, buñuelos, tortillas, merengues, tortas, tartaletas, pies, dulcecitos, tamales, mermeladas, cakes, compotas, nieves, helados, conservas, frutas, alcohol, bebidas, frías, calientes, cocktails, licores, jarabes, turrones, jaleas, pastelitos, galletas|Importancia sobre la conservación de frutas en almíbar y la preparación de jaleas y mermeladas.
||Almanaque dulce|México|La Unión Nacional de Productores de Azúcar, S.A.|1945|76|6.5x8.5 pulg||||Cocina||Dulces, tortas, cockteles, ponches, refrescos, helados, empanadas, cakes, platilos de ave, sopas, pollo, panque, galletas, chongos, mazapanes, pie, bizcocho, baba, pan, canapes, huevos, budin|En la edición presente hemos incluido, además de las recetas en cuya elaboración interviene principalmente la azúcar, otras de cocina; estas ultimas seleccionadas entre las más económicas, con objeto de ofrecer a nuestras lectoras el medio de obtener platillos sabrosos cuyo costo sea compatible con la situación actual caracterizada por precios altos.
||Almanaque dulce|México|La Unión Nacional de Productores de Azúcar, S.A.|1947|78|6.5x8.5 pulg||||Cocina||Cocktails, sopa, huevos, pollo, cakes, pastel, grogs, egg-nogs, buidines, postre, tartaletas,, pure, mousse, dulces, platillos mexicanos, arroz, salsa, hoeurs, ensaladas, asado, pastas, croquetas|Incluimos las acostumbradas recetas de cocina, diversas formulas de postres y dulces que las amas de casa podrán realizar fácilmente sin grandes gastos.
||Almanaque dulce|México|La Unión Nacional de Productores de Azúcar, S.A.|1949|82|6.5x8.5 pulg||||Cocina||Sopa, arroz, torta, ate, pesacado, flan, ponche, tepache, huevos, turron, dulce, helado, nieve, crema, galletas, cajeta, pastel, rosca, mermelada|Recetas de postres y dulces gran variedad de procedimientos mediante desembolso mínimo, alimentos ricos en calorías.
||Almanaque dulce|México|La Unión Nacional de Productores de Azúcar, S.A.|1951|79|6.5x8.5 pulg||||Cocina||Cocktails, pasteles, cakes, galletas, pastas, pies, dulces, golosinas, canapes, refrescos, alcohol|Variadas recetas que estamos seguros serán una ayuda eficaz para sus diarios problemas y además muchos consejos utilísimos.
||Almanaque dulce|México|La Unión Nacional de Productores de Azúcar, S.A.|1952|79|6.5x8.5 pulg||||Cocina||Arroz, leche, crema, dulce, flan, rollo, turron, molotes, nuez, merengues, jamoncillo, cajeta, torrejas, gelatina, mazapanes, mermelada, torta, cocada, conservas, compota, helado, nieve, ponche, bizcocho, galletas, empanadas, panque, polvorones, pastel, jamoncillo|"Unión Nacional de productores de Azucar, cumple una vez más el grato deber que a sí misma se ha impuesto, de llevar hasta las manos de usted este almanaque ""DULCE"", que cada año está más y más solicitado en todos los hogares por la amenidad de sus textos, la utilidad de sus consejos y la eficacia de sus recetas. "
||Almanaque dulce|México|La Unión Nacional de Productores de Azúcar, S.A.|1953|76|6.5x8.5 pulg||||Cocina||Bombones, nuez, arroz, leche, mermelada, flan, compota, pasta, cajeta, conserva, turron, antojos, panochas, budin, crema, palanquetas, jalea, flan, postre, dulce, rollo, fudge, jamoncillo, mazapan, queso, roscas, gelatina, merengue, helado, empanadas, bizcocho, galletas, torta, pastel, rebanadas, atole, chiles,pasta, panque|En su contenido encontrará además del santoral, recetas, consejos, amenidades, etc;
||Almanaque dulce|México|La Unión Nacional de Productores de Azúcar, S.A.|1957|98|6.5x8.5 pulg||||Cocina||Budines, cajetas, cremas, cockteles, dulces, flanes, gelatinas, helados, pasteles, salsas, pure, panecitos, ensalada, galletas|Para el ama de casa, como para toda persona que guste del arte culinario y de la repostería.
||Almanaque dulce|México|La Unión Nacional de Productores de Azúcar, S.A.|1946|82|6.5x8.5 pulg||||Cocina||Recetas, tallarines, macarrones, pollo, arroz, pan, crepas, crema, flan, pastel, pudin, budin, buñuelos, frituras, tortilla, queso, jamón, entradas, mousse, gelatina, sopa, ensaladas, pastel, crema, huevos, salsa, pure, tostadas, patas, riñones, sandwiches, quesos, pescados,galletitas|El presente Almanaque contiene recetas, en cuya elaboración, interviene el azúcar; pero hemos dado preferencia a las recetas de cocina en general, cuidadosamente seleccionadas y probadas de manera que nuestras lectoras puedan apreciar su valor. 
||Almanaque dulce|México|La Unión Nacional de Productores de Azúcar, S.A.|1948|73|6.5x8.5 pulg||||Cocina||Dulce, postre, turron, helados, crema, huevos, marengue, salsa, jarabe, leche, pastelitos, ponche, torta, panecillos, bizcochos, pan, cuernos. Macarrones, mazapan, jaletina, galletas, compota, cocada, jalea, rompope, magdalenas, polvorones, bisquit, semitas, donas, mantecadas, cocoles, tortas, pan de muerto, pollo, cocada, ante|Nuevamente la Asociación Nacional de Productores de azúcar se acerca a vosotras, a traves de las páginas del Almanaque dulce, para desearos todo género de aventuras en este 1948 y para proporcionarnos una serie de consejos que sin duda habrán de reportaros alguna utilidad.
||Recetario de platillos mexicanos 1981|México|Publicaciones del Instituto Mexicano del Seguro Social|1981|88|9x6.5 pulg||||Cocina|Cía litográfica Rendón|Frutas, verduras, pescados, mariscos, carnes, leguminosas, cereales|Divulgación del consumo racional de los numerosos y variados alimentos que se producen de costa a costa y de fontera a frontera en el país.
||Recetario de Repostería y cocina de los hornos eléctricos ideal|México||1946|128|5x7.5 pulg||||Cocina|Beatriz de silva|Pastelería, respostería, panadería, budines, legumbres, frutas, pescados, mariscos, huevos, pastas, aves, carnes, postres|Ideal para preparar alimentos especiales en las dietas de los niños y enfermos 
||La cena de Navidad|México|Promociones editoriales mexicanas|1980|47|5x7.5 pulg||||Cocina|Organización editorial Novaro, S.A.|Vinos, licores, ponches, sopas, pastas, pescados, romeritos, pavos, carnes, ensaladas, postres|Los platillos incluidos representan las variantes más comunes y tradicionales de las cenas de navidad en las familias mexicanas 
||Recetario Batería Linea 2000|México|||36|8x5 pulg||||Cocina||Huevos, arroz, macarron, ensaladas, sopa, papas, crema, pollo, budin, risotta, bacalao, filete, langostinos, carnero, escalopas, lomo, carnero, bisteces, pastel, panque, hot cakes|Con el adecuado cuidado usted asegura un duradero servicio, platillos más sabrosos y una limpieza sorprendentemente fácil.
||Noveno Recetario Conquistador |México|Fabricantes de aceite conquistador |1945|128|6.5x4.5 pulg||||Cocina||Sopas, pescados, verduraas, salsas, ensaladas, huevos, aves, carnes, postres, bebidas|Las recetas de este nuevo libro de cocina, son recetas sanas, nutritivas, muy económicas, fáciles de preparar
||Recetario de Repostería y cocina de los hornos eléctricos ideal|México||1948|149|5.5x7.5 pulg||||Cocina|Asbaje|Pastelería, repostería, galletas, pastas, panadería, budines, tortas, pescados, mariscos, legumbres, frutas, huevos, carnes, postres|Repostería y cocina
||La cocinera poblana y el libro de las familias|Puebla||1895|342|||Quinta||Cocina||Sopas, caldos, jugos, pures, cocido, puchero, potajes, salsas, carnes, carnero, ternera, puerco, asados, embuchados, liebre, aves, conejo, pescados, tortas, frituras, huevos, legumbres, mole, pulques, pastelería, repostería, dulcería, conservas, botillería, cajetas, vinos de fruta, enfermedades, medicamentos|Novísimo manual práctico de cocina española, francesa, inglesa y mexicana, higiene y economia doméstica
||La cocinera poblana o el libro de las familias|México|Herrero Hermanos Sucesores|1921|430|4.5x7.5 pulg||Novena||Cocina|Imprenta de los editores|Sopas, caldos, jugos, pures, cocido, puchero, potajes, salsas, carnes, carnero, ternera, puerco, asados, embuchados, liebre, aves, conejo, pescados, tortas, frituras, huevos, legumbres, mole, pulques, pastelería, repostería, dulcería, conservas, botillería, cajetas, vinos de fruta, enfermedades, medicamentos, urbanidad, trinchar|Novísimo manual práctico de cocina española, francesa, inglesa y mexicana, higiene y economia doméstica. Tratados especiales de pastelería, confitería y repostería, diversas recetas y secretos de tocador y medicina doméstica para conservar la salud y prolongar la vida.
||La cocinera poblana o el libro de las familias|México|Herrero Hermanos Sucesores|1907|476|5x8 pulg||Séptima||Cocina|Sucesores de Rivade|Sopas, caldos, jugos, pures, cocido, puchero, potajes, salsas, carnes, carnero, ternera, puerco, asados, embuchados, liebre, aves, conejo, pescados, ostiones, caracoles,  tortas, frituras, huevos, legumbres, mole, clemole, manchamanteles, pipián, chiles, tamales, adobo, barbacoa, pulques, pastelería, repostería, dulcería, conservas, botillería, cajetas, vinos de fruta, higiene, enfermedades, medicamentos, urbanidad, trinchar|Novísimo manual práctico de cocina española, francesa, inglesa y mexicana, higiene y economia doméstica. Contiene cerca de 2.000 fórmulas de ejecución sencilla y fácil. Tratados especiales de pastelería, confitería y repostería, diversas recetas y secretos de tocador y medicina doméstica para conservar la salud y prolongar la vida.
||Nuevo cocinero mexicano en forma de diccionario|México|Librería de la Vda de CH. Bouret|1903|966|6x9.5 pulg||||Cocina|Vda. De Ch. Bouret|Diccionario, sopa, ternera, carnero, cordero, puerco, jabalí, cabra, guaxolote, ansar, pescados, buey, vaca, liebre, conejo, faisan, perdiz, codornis, ganso, gallina, masas, repostería, frutas, legumbres, huevos, asado, postre, trinchar|Contiene todos los procedimientos empleados en la alta, mediana y pequeña cocina, la lista normal de los platillos que deben componer las distintas comidas, que con variedad de nombres se hacen en el día el método de aderezar los platos y de disponer los diferentes servicios de una mesa, y lo más selecto de las artes del pastelero, del bizcochero, del confitero, del destilador y del never, con todo lo relativo a la repostería.
||Nuevo cocinero mexicano en forma de diccionario|México|Librería de la Vda de CH. Bouret|1888|966|6.5x9.5 pulg||||Cocina|Vda. De Ch. Bouret|Diccionario, sopa, ternera, carnero, cordero, puerco, jabalí, cabra, guaxolote, ansar, pescados, buey, vaca, liebre, conejo, faisan, perdiz, codornis, ganso, gallina, masas, repostería, frutas, legumbres, huevos, asado, postre, trinchar|Contiene todos los procedimientos empleados en la alta, mediana y pequeña cocina, la lista normal de los platillos que deben componer las distintas comidas, que con variedad de nombres se hacen en el día el método de aderezar los platos y de disponer los diferentes servicios de una mesa, y lo más selecto de las artes del pastelero, del bizcochero, del confitero, del destilador y del never, con todo lo relativo a la repostería.
||El tesoro de la cocina |México||1866|536|6x9 pulg||||Cocina|Juan Nepomuceno del Valle|Calendario gastronómico, epoca de sembrar las hortalizar, modo de trinchar en la mesa|Obra novisima que contiene todo lo cocerniente á la cocina española, francesa, alemana, flamenca, polaca, rusa, provensala, languedociana, italiana y gótica: metodo de servir y trinchar en la mesa: un calendario gastronómico: un tratado estenso de pastelería, método fácil para hacer helados, confitados, lo mas selecto del arte del bizcochero, tomado todo de los mejores autores mexicanos y extranjeros. 
||Cocina poblana|Puebla|Vel-a-gas de Puebla, S.A.|1968|231|5.5x7.5 pulg||||Cocina|Imprenta Madero S.A.|Moles, Chiles, tamales, chilaquiles, barbacoa, quesadillas, frijoles, nopales y quelites, chayotes, atoles, pulques, bollos, pasteles, empanadas, budines, tortas, buñuelos, bizcochos, repostería, leches, ates, cremas, flanes, dulcería, jaleas, mermeladas, conservas, mazapanes, merengues, jarabe, sorbetes, licores, vinos de frutas, |El formulario de este libro recoge, principalmente, la cocina poblana del siglo XX que, asu vez conservaba la tradición de los dos siglos anteriores.
||Mi libro de cocina|San Luis Potosi|Patronato Pro Asilo Josefino |1960|205|4.5x6.5 pulg||||Cocina|Editorial Universitaria Potosina|Sopas aguadas, sopas secas, pescados, aves, salsas, platillos diversos, carnes, platillos mexicanos, pasteles, postres, helados|En este libro expertas amas de casa, al ceder bondadosamente el fruto de sus experiencias culinarias, cooperan para una alimentación mejor.
||Comiendo con las estrellas |México|Roberto Ayala|1969|318|||||Cocina|Talleres de Organización Editorial Novaro, S.A.|Aves, carnes, pescados y mariscos, variedades culinarias|100 Fáciles recetas de cocina sugeridas por sus artistas favoritos, además 100 canciones 
||Buena cocina para la cocinera hacendosa|Durango, Dgo.||1956|160|5x8 pulg||Primera|II|Cocina|Imprenta Mayagoitia|Carnes, consomes, ensaladas, entremeses, salsas, sopas, sopas secas, verduras y legumbres, otras clases de pescado|"Contiene recetas muy sencillas y prácticas. Todas han sido obsequio dde varias socias da la H.F.T.M del Sagrario Metropolitano de durango, para beneficio del dispensario de la virgen ""La gota de Leche"""
||La cocina de la vasconia|México||1949|118|6x8 pulg||||Cocina||Caldos y consomés, sopas, huevos y tortillas, croquetas, arroz, pastas, salsas, pescados, verduras y ensaladas, potajes, aves y caza, carnes, postres|Selección de las mejores recetas de cocina, escogidas de entre los mas afamados tratados culinarios del mundo con la garantía de que dichas recetas han sido antes probadas por los diferentes utensilios de cocina que fabrica La vasconia. 
||200 Recetas a base de aceite Casa exquisitas|México|Aceite Casa|1942|143|||||Cocina||Sopas, huevos, pescado, pollos, carnes, salsa, legumbres, postres|Abundantes y numerosos son los manuales y recetarios de cocina que desde tiempo inmemorial subsisten y dan mayor valor al transcendente y nunca bien ponderado arte del comer.
||Alimentos y bebidas |México|Organo de la Unión de representantes e importadores de bebidas y comestibles de México|1948|113|6x7.5 pulg|||I|Cocina||Embutidos españoles, historia del mazapan, vino, cocina española, alimentos del carbón, aprovechamiento de desperdicios, elaboración de la leche evaporada, diferencia entre leche condensada y evaporada, mitos acerca del azúcar, alimentos congelados, importación de malta, traguitos y bocadillos|Alimentos y bebidas se complace en saludar cordialmente a todos los órganos periodísticos y muy en especial a las publicaciones de carácter técnico a fines de mejoramiento técnico y económico del país.
||Alimentos y bebidas |México|Organo de la Unión de representantes e importadores de bebidas y comestibles de México|1948|113|6x7.5 pulg|||I|Cocina||Fabricación de aceite en España, productos que pueden exportarse de México a España, productos de procedencia española, decreto de importación, Ley del impuesto mercantil, decreto permiso de importación, Ley federal del impuesto sobre ingresos mercantiles|La promulgación del Decreto de 7 de julio de 1947, que prohibe la importación de bebidas alcohólicas y de numerosos alimentos, tuvo por finalidad, según en el mismo se dice y lo confirmaron reiteradas declaraciones oficiosas, limitar drásticamente la salida de dólares invertidos en la adquisición de productos de importación para, de esta manera, nivelar el saldo de nuestra balanza comercial y, en consecuencia, nuestras reservas en divisas extranjeras (dólares). 
||Alimentos y bebidas |México|Organo de la Unión de representantes e importadores de bebidas y comestibles de México|1948|131|6x7.5 pulg|||I|Cocina||Conservas de carnes, la sardina, metodo para dar punto al chocolate, intoxicaciones por los quesos, traguitos y bocadillos|Es nuestro deseo analizar someramente las numerosas causas que actuando sobre el comercio de alimentos y bebidas tienen a quines se dedican a estas actividades en estado de sosobra permanente y a muchos de ellos al borde de la quiebra o del cierre del negocio.
||Alimentos y bebidas |México|Organo de la Unión de representantes e importadores de bebidas y comestibles de México|1948|126|6x7.5 pulg|||I|Cocina||Los salchichones, conservación de huevos, el nougat, dulce de Cacahuates, carne congelada, traguitos y bocadillos|La crisis del peso, restringe las importaciones y fomenta las exportaciones.
||Alimentos y bebidas |México|Organo de la Unión de representantes e importadores de bebidas y comestibles de México|1948|126|6x7.5 pulg|||I|Cocina||Pan y vino, las salchichas, elaboración de jugos, solventes de soja, traguitos y bocadillos|Para desarrollar un programa de reconstrucción interior y de colaboración mundial, como elementos vinculados con la economía nacional en el importante ramo de bebidas y comestibles, estamos dispuestos a la más cordial colaboración.
||Recetario de cocina de las Damas del Instituto de Protección a la Infancia de Campeche|Campeche|Damas del Instituto de Protección a la infancia de Campeche|1974|247|6.5x9 pulg||Segunda||Cocina||Sopas, carnes, salsas, ensaladas, huevos, mariscos y pescados, aves, legumbres, bocadillos, soufles, guisos diversos, dulces, gelatinas y helados, reposteria |Ofrecemos a la consideración de usted este libro, cuya única pretensión es facilitarle algunos aspectos prácticos del buen comer.                                           No es un tratado sobre la materia, sólo es el deseo de compartir nuestras recetas predilectas en forma práctica y familiar. 
||Recetario mexicano del maíz|México|Praxis, artes gráficas|1982|246|8.5x8.5 pulg||||Cocina|Talleres Razo Impresores|El maíz, nuestra carne y sustento, elote, tortilla, antojitos y otras formas de preparar la masa, tamales, atoles, pozoles y menudos, repostería, pinoles y golosinas, bebidas, cuitlacoche|Selección bibliográfica de recetas basadas en el maíz, expresión riquísima de nuestra diversidad cultural.
||Recetario de cocina tipica del Estado de Morelos|Morelos|DIF Morelos|1986|68|5x8 pulg||||Cocina||Arroz, adobo, atole, ayocotes, barbacoa, camarones, caldo, carne, cajeta, cecina, clemole, croquetas, cochinita, conejo, conserva, chaya, chilacas, chilacayotes, chiles, dulcesitos, espinacas, enchiladas, frijoles, guisado de carne, garnachas, guasmole, jamoncillo, lengua, mole, mixiotes, salsa, tamales, tacos, tortas, pichones, palanqueta, pan, pipian, postre, quesadillas.|Recetario que contiene platillos tipicos de todos los rincones de nuestro querido Estado, a tráves de estas páginas, el DIF Morelos pretende dar a conocer a usted y a su familia nuestra cocina; y enriquecer nuestras tradiciones.
||Guía del buen comer y mejor beber|México|La puerta del Sol, S.A. ||159|6x7.5 pulg||||Cocina||Sopa, cocido, paella, huevos, robalo, pudding, truchas, langosta, calamares, bacalao, papas, pimientos, ternera, filete de cerdo, rosbif, lomo relleno, manitas de puerco, lengua, riñones, sesos, frituras, pollo, pavo, pichones, pato, gallina, conejo, salsa |Guía del buen comer y mejor beber
||Recetario de cocina Excelsior|México||||||||Cocina||Cocktails, sopas, sopas secas, huevos, pescado, aves, carnes, ensaladas, verduras, y scereales, budines, tortas y frituras, antojos mexicanos, postres, nieves, sanwiches, tamales y atole|Recetario de cocina Excelsior
||La nueva gastronomía mexicana y su armonía con el vino|México|Banca cremi||57|7x8.5 pulg||||Cocina||Tamal de lujo, salsa de morillas, sopa hojaldrada de hongos de huitlacoche al poblano, filete relleno de queso, sorbete de tequila, mixiote de pescado y mariscos, gaznates rellenos de crema xanat con salsa de chocolate, sopa de elote|El vino bebida fermentada de moderación acompañante ideal con los platillos, pues sus caracteristicas multiplican las posibilidades del gusto y profundizan el umbral de sabores, matices y sensaciones. Tipo de vino y características
||Recetas para cocinar pollo y huevo|México|Sección Nal. De Incubadores de la Unión Nal. De Avicultores||97|8x10.5 pulg||||Cocina||Gallina a la mexicana, brochetas de higados de pollo, mollejas a la española, pechugas en salsa de queso, pollo con pimientos, huevos a la florentina, huevos con tocino, omelette, tortilla de huevos|
||Recetario diversos modos de preparar el Pato|México|Subsecretaria de ganaderia|||8x10.5 pulg||||Cocina||Pato a la mexicana, en cazuelita, en chirmol, en su jugo, con nabos, al orange, al champagne, a la reina, chop suey de pato, pato con esparragos, hungaro, tehuacán, con almendras y jerez, delicioso, guisado criollo de pato, pechuga de pato a la parmesana, pato en mole, a la cubana|
||Recetario de cocina Myriam 600 recetas|||||||||Cocina||Coktail, sopa aguada, sopas secas, asados, carnes en frio, aves, mariscos, cereales y verduras, huevos, dulces, helados, pasteles, panes y galletas, varios|
||Guía para la alimentación de la familia mexicana, ahorre, combine, disfrute y nutrase|México|INCO-DICONSA|1987|228|6.5x8 pulg||||Cocina||Sopas, ensaladas, guisados de carne, guisados de pescado, guisados de verduras, guisados de leguminosas, preparaciones con huevo, preparaciones con cereales, postres, bebidas calientes, bebidas frias, salsas|Esta guía recoge y respeta los mejores hábitos y las más sabias tradiciones de las mayorías sociales del país. Trata de servir a esa población sin violentar sus costumbres alimentarias y teniendo en cuenta sus dificiles condiciones económicas.  121 recetas para platillos mexicanos, sabrosos y nutritivos.  42 menús completos (desayuno, comida y cena) para seis semanas.
||Recetario Inca|México||||||||Cocina||Arroz, guacamole, crema de zanahoria, sopa de fideo, sopa de tortilla, pollo, hamburguesas, higado a la mexicana, alcachofas rellenas, sesos fritos, entomatado de puerco, albondigas, filete al jugo de naranja, ternera al horno, tostadas mexicanas, huevos yucatecos, mancha manteles, chiles en nogada, budin de tortilla pambacitos, chalupas poblanas, enchiladas de jitomate, tamales, panecitos, rodeos, pastel de naranja, polvorones de nuez, roscones, bisquets de queso  |Verá qué fácil le será preparar desde la sopa hasta el postre con INCA, que además de ser económica, es rendidora, y que con ella, resalta el buen sabor de cada alimento.                                              Para lograr un buen platillo, además de contar con ingredientes de primera calidad, es indispensable medir con exactitud las cantidades indicadas en cada receta y seguir al pie de la letra las instrucciones. Esto constituye la base para llegar a ser una buena cocinera. 
||Recetario Coldspot|México|El centro mercantil, S.A.||79|6x9 pulg||||Cocina||Nieve, sorbete, helados, parfaits, mousse, marlows, pudding, postre de café, pastel, crema de fresa, custard, galletas, salsas, entremeses, cocktel de mariscos, sopa de tomate, bebidas, pastas, biscuits, muffins, cake, ensaladas, panes, molletes, bizcochos, bollos, pescado, carnes, legumbres|Recetario Coldspot
||Guia y recetario del refrigerador IEM|México|Industria Electrica de México, S.A.|1948|30|5.5x8.5 pulg||||Cocina|PESA|Postres y helados, salsas para postres, especialidades, refrescos, canapes y cocteles, sandwiches, ensaladas, aderezos de ensalada|
||Pasta Hojaldrada Recetas fáciles y prácticas|México|El globo||31|5.5x8 pulg||||Cocina||Empanadas, banderillas, hojaldre, rollitos de hojaldre, quiche, volován, strudel, filete, pechugas, pescado, milhojas, tarta, tartaleta, pays y pasteles, pizza|Si usted tiene un gusto especial por la cocina, éste recetario es para usted.
||Recetario aceite casa|México|||20|5x7.5 pulg||||Cocina||Entremeses, sopas, aves, carnes, verduras, ensaladas, postres, platillos mexicanos|Recetario cuyas recetas han sido cuidadosamente seleccionadas y debidamente comprobadas por una experta profesora de cocina
||Recetario de Aluminio Vasconia|México||1911|48|5.5x7.5 pulg||||Cocina||Caldos y consomés, sopas, potajes, huevos y tortillas, croquetas, arroz, pastas, salsas, pescados, verduras y ensaladas, aderezos para las ensaladas, potajes, aves y caza, diferentes rellenos para guajolote, carnes, postres|Este recetario de cocina contiene una selección de los mejores platillos que pueden prepararse fácilmente en casa para deleite de los suyos y sus invitados, con la garantía de que dichas recetas han sido probadas en diferentes utensilios de aluminio VASCONIA
||Recetario de cocina cinco estrellas |México|Cinco estrellas Internacional, S.A de C.V.||60|5x8 pulg||||Cocina|Imprenta venecia, S.A.|Sopa, arroz, spaghetti, pizza, tortilla, huevo, omelet, rollos, croquetas, filete, lomo de cerdo, conejo estofado, pure, carne asada, costillas, higado, ternera, pollo, tempura japonesa, pescado, enchiladas, chiles poblanos, pie de piña, pastel de nuez, donas, crepas, panecitos|Platillos de cocina mexicana e internacional.
||Recetario Milpa Alta |México|Dirección general de desarrollo delegacional||55|5.5x8.5 pulg||||Cocina||Ensalada de nopales con atún, mixmole, nopales en escabeche, tamales de nopal con queso, mermelada de nopal, empanadas rellenas de nopal, sopa de nopales con elote, crema de nopales con jitomate, crema de nopales con espinacas, nopales con orégano, dulce de nopal, tamales de nopales y pescado, tamales de nopales con sesos, ceviche de nopal|Disfruta de 48 exquisitos platillos tradicionales de la región.                          El presente recetario es una recopilación de recetas familiares, que las amas de casa de la región desean compartir con todos aquellos que consideren que el nopal es una alternativa en la dieta diaria, por sus propiedades nutricionales y terapéuticas.
