Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Pérez-Rocha|Emma|||Privilegios en lucha. La información de doña Isabel Moctezuma|||Primera|||México,  D.F|INAH|Colección científica||1998|289|Cuadros|
Garmendia |Alvaro|||Los mil y un oficios de los desocupados de la ciudad|||Segunda|||México,  D.F|Editores mexicanos unidos|Colección Testimonios||1982|215|Fotos|
||||Nuestro maíz|||Primera|||México,  D.F|Museo Nacional de Culturas Populares-SEP||1|1982|327|Ilustraciones|
||||Nuestro maíz|||Primera|||México,  D.F|Museo Nacional de Culturas Populares-SEP||2|1982|302|Ilustraciones y cuadros|
||||Los campesinos: ¿para qué organizarlos?|||Primera|||México,  D.F|Centro de Ecodesarrollo|||1976|212||
Zapata|Francisco et al|||Las truchas. Acero y sociedad en México|||Primera|||México,  D.F|El colegio de México|||1978|304|Fotos y Cuadros|
Romanini|Claudio|||Agricultura tropical en tierras ganaderas|||Primera|||México,  D.F|INI|||1279|103|Cuadros e ilustraciones|
||||La revolución avanza para el progreso de los cafetaleros|||Primera|||México|Instituto Mexicano del Café|||1975|[12]||
Soberon Martínez|Oscar|||La industria henequenera en Yucatan|||Primera|||México|Centro de investigaciones agrarias|||1959|118|Cuadros y mapas|
Bolaños Cardenas |Laura|||La identidad perdida y otros mitos|||Primera|||México|Editorial Vila|||2001|236||
||||El cultivo del maíz en México: diversidad, limitaciones y alternativas|||Primera|||México|Centro de Ecodesarrollo|||1980|74||
||||Mil tres textos sobre la historia de la frontera norte|||Primera|||México,  D.F|Comité mexicano de ciencias históricas|||1986|445|Mapas|
||||Finanzas públicas estatales y municipales de México 1990-1994|||Primera|||Ags, Ags.|INEGI|||1996|273|Cuadros|
Ortiz Ramos|Carlos|||Econotecnia Agrícola. Cultivos asociados o intercalados en México.||III|Primera|||México,  D.F|Secretaría de Agricultura y Recursos Humanos||7|1979|40|Cuadros|
Kaldman E.|Juan Francisco|Miguel Sánchez F.||Metodologia para el análisis económico de la parcela cañera|||Primera|||México,  D.F|CENAPRO|||1977|148|Cuadros|
Rodríguez Mariscal|Xavier|||Síntesis del curso sobre metodologías modernas|||Primera|||México,  D.F|Subsecretaría Forestal y de la Fauna|||1968|162||
||||Estado de desarrollo económico y social de los pueblos indígenas de México|||Primera|||México|INI|||2002|383|Mapas, fotos y cuadros|
Fernandéz Martínez|Teresita|||Frontera y asentamientos humanos, Morfología del oriente de Michoacán en el siglo XVI|||Primera|||Morelia, Michoacán|SC-CIDEM-Gobierno del Estado de Michoacán de Ocampo- Teresita Fdez.|||2008|194|Fotos, cuadros, ilustraciones|
