Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Iturribarria|Jorge Fernando|||La generación Oaxaqueña del 57|||Primera|||México, D.F|"Universidad ""Benito Juárez de Oaxaca"""|||1956|248||
Canseco Feraud|Alfredo|||Vamos Oaxaca!!!|||Primera|||Oaxaca, Oax.|"Universidad Autónoma ""Benito Juárez"" de Oaxaca"|||1973|40|Ilustraciones|
Katz|Friedrich|||Revuelta, rebelión y revolución|||Primera||Trad. Por Paloma Villegas|México, D.F|Ediciones Era|||1988|589||
Rojas |Beatriz|||Los Huicholes: Documentos Históricos|||Primera|||México, D.F|INI-CIESAS|||1992|271||
Mirafuentes Galván|José Luis|||Movimientos de resistencia y rebeliones indígenas de México (1680-1821)|II||Primera|||México|UNAM|||1993|154||
Mirafuentes Galván|José Luis|||Movimientos de resistencia y rebeliones indígenas de México (1680-1821)|I||Primera|||México|UNAM|||1989|249||
De la Maite|Bertrand|Maite Rico||Marcos, la genial impostura|||Primera|1998||México|[Nuevo Siglo]|||1997|472||
Katz|Friedrich|||Situación social y economía de los aztecas durante los siglos XV y XVI|||Primera||Trad. Por María Luia Rodrígez Sala y Elsa Buhler|México, D.F|UNAM|||1966|208||
Cabral Soto|Javier|Dr. Ángel Flores Alvarado||Salud sexual y reproductiva en Jóvenes Indígenas en las Principales Etnias de México|||Primera|||México|IMSS||||201||
||||Antropología Social|||Primera|||México|ENAH|||[2002-2004]|23||
Ruz|Mario Humberto|||Semillas de industria|||Primera|||México|CIESAS|||1994|266||
Alva Ixtlilxochitl|Fernando|||Crónicas de América|||Primera|||Madrid|DASTIN||||332||
Ulin|Robert C.|||Antropología y Teoría Social|||Primera|||México, D.F|Siglo XXI Editores|||1990|251||
Turner|Víctor |||La selva de los símbolos|||Primera||Trad. Por Ramón Valdés del Toro|México, D.F|Siglo XXI Editores|||1980|455|Fotos y cuadros|
Jáuregui|Jesús|María Eugenia Olavarría et al|Coordinadores|Cultura y Comunicación|||Primera|||México, D.F|CIESAS|||1996|575|Cuadros y mapa|
Bordieu|Pierre|Loic J.D Wacquant||Reapuestas por una Antropología Reflexiva|||Primera||Trad. Por Helene Levesque Dion|México, D.F|Editorial Grijalbo|||1995|229||
Brown|J.A.C|||The Social Psychology Industry|||Primera|1973||Victoria, Australia|Penguin Books|||1954|309||
Olivé Negrete|Julio César|Augusto Urteaga Castro-Pozo|Coordinadores|INAH, Una historia|||Primera|||México, D.F|INAH|||1988|464|Cuadros, mapas y fotos|
González de Cossío|Francisco|||El libro de las tasaciones de pueblos de la Nueva España|||Primera|||México|Archivo General de la Nación|||1952|677||
Fromm|Erich|||Étican y Psicoanálisis|||Primera|1969|Trad. Por Heriberto F. Morck|México, D.F|Fondo de Cultura Económica|||1953|278||
Amadou|Robert |||La parapsicología|||Segunda||Trad. Por Lía G. Ratto|Buenos Aires, Argentina|Editorial Paidós|||1964|404||
Piaget|Jean|||Psicología y pedagogía|||Cuarta|||España|Editorial Ariel|||1969|208||
Hofstatter|Peter R.|||Psicología social|||Primera||Trad. Por Miguel Pereyra|México|UTEHA|||1960|200||
Monterde|Francisco|||Mariano Azuela. La crítica mexicana|||Primera|||México, D.F|SEP|SepSetentas||1973|180||
Sánchez|Hector|||México nueve veces contado por narradores extranjeros|||Primera|||México, D.F|SEP|SepSetentas||1974|213|Ilustraciones|
Delgado González|Arturo|||Martín Luis Guzmán y el estudio de lo mexicano|||Primera|||México, D.F|SEP|SepSetentas||1975|183||
Rosell|Lauro E.|||Monografías mexicanas|||Primera|||México|INAH|||1947|47|Fotos|
González Navarro|Moisés |||México: el capitalismo nacionalista|||Primera|||México, D.F|COSTA AMIC Editor|||1970|333||
Flores Magón|Ricardo|||La revolución mexicana|||Primera|||México|Editorial Grijalbo|Colección 70||1970|158||
Doazan|Jules|||La vida económica de México en la época de Juárez|||Primera|||México|Secretaría de Comunicaciones y Transportes|||1972|105|Cuadros|
