Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Garcés|Francisco||Diario de exploradores en Arizona y California en los años de 1775 y 1776|||Segunda|||México|Universidad Nacional Autónoma de México|Cuadernos, Serie docuemental|6|1968|103 pp.|Mps - Ilus|
Arizpe|Lourdes||Campesinado y migración|||Primera|||México|Consejo Nacional de Fomento Educativo|||1985|153 pp.||
Knight|Alan||U.S. - Mexican relations 1910 - 1940|||Primera|||EUA|University of California, San Diego|Monograph Series|28|1987|149 pp.|Fts - Mps|
Landín Palacio|Fernando||Atoyocan Bernal Danza y Leyenda|||Primera|||México||||1992|79 pp.||
Morales Bermúdez|Jesús||Ceremonial|||Primera|||México|Dirección General de Culturas Populares|||1992|199 pp.||
Humberto Ruz|Mario||Chiapas Colonial dos esbozos documentales|||Primera|||México|Universidad Nacional Autónoma de México|||1989|233 pp.||
Gómez K'ulub|Manuel||Kajwakltik La ordenanza de la colonia de 1674|||Primera|||México|Intituto Nacional Indigenista|||1999|163 pp.||
Regalado|Antero||Las luchas campesinas en cuba||||||Cuba|Departamento de Orientación Central del Partido Comunista de Cuba|||1974|215 pp.||
COPIAS|||The frontiers of new spain|||||||||||189 pp.||
Arizpe|Lourdes||Antropología breve de México|||Primera|||México|Academia de la Investigación cintifíca|||1993|398 pp.|Ilus|
Quijada|Armando||Documentos para la historia de Sonora||1|Primera|||México|Spciedad Sonorense de Historia|||1979|96 pp.||
Mathes|W. Michael||Californiana|3|1|Primera|||España|Ediciones José Porrua Turanzas|Colección Chimalistac|36|1974|250 pp.||
Mathes|W. Michael||Californiana|3|2|Primera|||España|Ediciones José Porrua Turanzas|Colección Chimalistac|37|1974|568 pp.||
Mathes|W. Michael||Californiana|3|3|Primera|||España|Ediciones José Porrua Turanzas|Colección Chimalistac|38|1974|845 pp.||
Tamayo Sánchez|Jesús||La ocupación española de las californias|||Primera|||México|Plaza y Valdéz Eitores|||1992|104 pp.||
Othón Mendizabal|Miguel||Obras Completas||2|Primera|||México||||1946|371 pp.||
Perez y Zavala|Carlos Rodolfo||"TESIS ""El pueblo manda"""|||Primera|||México||||2005|210 pp.||
Basilc|Hendrick|J. Charles Kelly|The north Mexican Frontier||||||USA||||1971|||
