Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Titulo del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Numero de paginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
|Departamento de Etnología y Antropología Social||Cuadernos de trabajo antropología de la religión|||Primera|||México|Instituto Nacional de Antropología e Historia|Cuadernos de trabajo|15|1976|X||
Picoche|Marcel|Ethelvina Correa|Cuadernos de trabajo historia y folklore africano en América|||Primera|||México|Instituto Nacional de Antropología e Historia|Cuadernos de trabajo|27|1980|X||
Ortiz Echániz|Silvia||Una religiosidad popular: el espiritualismo trinitario mariano|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Científica||1990|295 pp.|Fts - Cuad|
Tichy|Franz||Orientación de las piramides e iglesias en el altiplano mexicano|||Primera|||México|Fundación Alemana para la Investigación Científica|||1976|16 pp.|Ilus - Cuad - Mps|
Cardiel |José C. |Elizabeth Juárez|Investigación religión y sociedad en el sureste de México. Notas estadísticas sobre grupos religiosos en el sureste|||Primera|||México|Centro de investigaciones y estudios superiores en antropologia social|||X|45 pp.|Cuad - Mps|
Bartolomé|Miguel Alberto||La insurrección de Canek un movimiento mesiánico en el Yucatán colonial|||Primera|||México|Instituto Nacional de Antropología e Historia|Cuadernos de los Centros Regionales||1978|25 pp.||
Cysneiros|Israel||Idolos e deuses da mitologia afro-brasileira|||Primera|||Brasil|Conquista|||1970|32 pp.|Ilus|
Bartolomé|Miguel Alberto|Alicia M. Barabas|Cuadernos de los centros|||Primera|||México|Instituto Nacional de Antropología e Historia|Cuadernos de los Centros Regionales|5|X|54 pp.||
Bartolomé|Miguel Alberto|Alicia M. Barabas|La resistencia maya|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Científica|53|1977|133 pp.|Fts - Cuad - Mps|
|Secretaria de Gobernación||Foros para la revisión integral de la constitución|||Primera|||México|Secretaria de Gobernación/Instituto Nacional de Estados Históricos de la Revolución Mexicana|||2001|394 pp.||
|Secretaria de Gobernación||Foros para la revisión integral de la constitución|parte 2||Primera|||México|Secretaria de Gobernación/Instituto Nacional de Estados Históricos de la Revolución Mexicana|||2001|776 pp.||
García Mendez|José Andrés||Chiapas para Cristo diversidad doctrinal y cambio político en el campo religioso no católico chiapaneco tésis que para optar por el grado de doctor en antropología |||Primera|||México|José Andrés García Mendez|||2004|241 pp.|Cuad - Mps|
|Instituto Nacional de Antropología e Historia||Bibliografía nacional 1827-1962|I||Primera|||México|Instituto Nacional de Antropología e Historia|||1962|338 pp.|Ilus|
Icazbalceta García|Joaquín |Agustín Millares Carlo|Bibliografia mexicana del siglo XVI|||Primera|||México|Fondo de Cultura Económica|||1981|591 pp.|Ilus|
Bernal |Ignacio||Bibliografia de arqueología y etnografía mesoamérica y norte de México 1514-1960|||Primera|||México|Instituto Nacional de Antropología e Historia|Memorias |VII|1962|634 pp.|Mps|
Bahti|Tom||Southwestern indian tribes|||Primera|||EUA|KC Publications|||1968|72 pp.|Ilus - Fts|
|Ediciones Buena Nueva||Albúm del 450 Aniversario de las apariciones de nuestra señora de Guadalupe|||Primera|||México|Ediciones Buena Nueva|||1981|299 pp.|Ilus - Fts|
|Subsecretaría de Educación Pública||Los berrinches|||Primera|||México|Subsecretaría de Educación Pública|||X|X|Ilus|
|Subsecretaría de Educación Pública||Hable con sus hijos|||Primera|||México|Subsecretaría de Educación Pública|||X|X|Ilus|
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
