Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Martínez Vásquez|Víctor||Coordinador|Oaxaca: Escenarios del Nuevo Siglo|||Primera|||Oaxaca|Universidad Autónoma de Oaxaca|||2002|255|Cuadros|
Arguedas|José María|||Formación de una cultura nacional indoamericana|||Primera|||México, D.F|Siglo XXI|||1975|197|Fotos|
||||Anuario 1999|||Primera|||Tuxtla Gutiérrez, Chiapas.|Universidad de Ciencias y Artes de Chiapas|||2000|539|Cuadros y mapas|
Lenkersdorf|Carlos|||El diario de un Tojolabal|||Primera|||México, D.F|Plaza y Valdés|||2001|513|Fotos y Cuadros|
Reed |Nelson|||La guerra de castas de Yucatán|||Octava||Trad. Por Félix Blanco|México, D.F|Ediciones Era |||1987|297|Mapa|
Batten|T.R|||Las comunidades y su desarrollo|||Tercera||Trad. Por Emma Susana Speratti|México, D.F|Fondo de Cultura Económica|||1964|196||
Toledo Tello|Sonia|||Fincas, poder y cultura en Simojovel, Chiapas|||Primera|||San Cristóbal de las Casa, Chiapas|Universidad Autónoma de Chiapas|||2002|330||
Baudot |Georges|Tzvetan Todorov||Relatos aztecas de la conquista|||Primera||Trad. Por Guillermina Cuevas|México, D.F|Editorial Grijalvo|||1990|483|Mapas e Ilustraciones|
||||La experiencia de peritaje antropológico|||Primera|||México, D.F|INI|||2002|105||
Guerrero Arias|Patricio|||La Cultura|||Primera|||Quito, Ecuador|Ediciones Abya-Yala|||2002|134||
Panoff|Michel|||Malinowski y la antropología|||Primera|||Barcelona|Editorial Labor|||1974|106||
Levi-Strauss|Claude|||El pensamiento Salvaje|||Primera|1994||México, D.F|Fondo de Cultura Económica|||1988|413|Ilustraciones|
Carrel|Alexis|||La incognita del hombre |||11||Trad. Por María Ruiz Ferry|México, D.F|Editorial Diana|||1970|397||
Bonte|Pierre|||De la etnología a la antropología: sobre el enfoque crítico en las ciencias humanas|||Primera||Trad. Por Bernardo Muniesa|Barcelona|Editorial Anagrama|||1975|71|Cuadros|
Ribeiro|Darcy|||Configuraciones |||Primera|||México, D.F|SEP|SepSetentas|38|1972|185||
Piaget|Jean|||Le Structuralisme|||Segunda|||Saint Germain, Paris|Presses Universitaires de France|||1968|124||
Leach|Edmund|||Lévi-Strauss|||Primera||Trad. Por José R. Llobera|Barcelona|Editorial Anagrama|||1963|73||
Levi-Strauss|Claude|||El toteismo en la actualidad |||Primera||Trad. Por Francisco González Aramburo|México, D.F|Fondo de Cultura Económica|||1965|157||
Pitt-Rivers|Julian|||Tres ensayos de antropología estructural|||Primera||Trad. Por José Cano Tembleque|Barcelona|Editorial Anagrama|||1973|110||
Kluckhohn|Clyde|||Mirror for man|||Sexta|||Nueva York|Fawcett World Library|||1963|272||
Mora Bravo|Miguel|||El derecho a la planeación familiar|||Primera|||México, D.F|Miguel Mora Bravo|||1984|326||
Canabal Cristiani|Beatriz||Coordinadora|Los caminos de la montaña. Formas de reproducción social en la montaña de Guerrero|||Primera|||México, D.F|CIESAS-Miguel Ángel Porrúa|||2001|295||
