Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Daicoviciu|C.||La Formation du peuple Rumain et de sa langue|||Primera|||Bucarest|Editions de L´académie de la Repiblique Populaire Roumaine|Bibliotheca Historica Romaniae||1963|65||
|||Rumania en cifras y datos|||Primera|||Bucarest|Editorial Meridiane|||1964|52|Gráficos|
Giurescu|C. Const.||Stiri despre populatia romaneasca a dobrogei in harti medievale si moderne|||Primera||||Muzeul Regional de Arheologie Dobrogea||||63|Mapas|
Kamen|Henry||La Henry Kamen Inquisición Española|||Segunda||Trad. Enrique de Obregón|Madrid, España|Alianza Editorial Madrid|||1973|342||
Nava Oteo|Guadalupe||Cabildos de la nueva España en 1808|||Primera|||México, D.F|Secretaría de Educación Pública|||1973|190||
N. Frye|Richard||The heritage of Persia|||Primera|||EUA|Mentor Books|||1966|349|Ilustraciones|
González Avelar|Miguel||La Constitución de Apatzingan y otros estudios |||Primera|||México, D.F|Secretaría de Educación Pública|||1973|190||
López y Rivas|Gilberto||La guerra del 47 y la resistencia popular a la ocupación|||Primera|||México, D.F|Editorial Nuestro tiempo|Colección: Teoría e historia||1976|207||
Bartolomé|Efraín||Ocosingo: diario de guerra y algunas voces|||Primera|||México, D.F|Editorial Joaquín Mortiz|||1995|239||
Sanchéz-Albornoz|Claudio||Estudios sobre las instituciones medievales españolas|||Primera|||México, D.F|Universidad Autónoma de México / Instituto de investigaciones históricas|||1965|828|Mapa|
Dominguez Ortiz|Antonio||La sociedad española en el siglo XVII||VII|Primera|||Madrid, España|Instituto Balmes de Sociología |||1963|375||
Bosch-Gimpera|Dr. Pedro||Historia de Oriente|I||Primera|||Guatemala|Tipografía nacional de Guatemala|||1947|681|Ilustraciones|
Goicochea Moreno|Dr. Julio …et al||Hacia el descubrimiento de la tierra||I|Segunda|||México, D.F|UTEHA|Grandes descubridores y conquistadores||1984|144|Fotos e ilustraciones|
Goicochea Moreno|Dr. Julio …et al||Los itinerarios mediterráneos||II|Segunda|||México, D.F|UTEHA|Grandes descubridores y conquistadores||1985|288|Fotos e ilustraciones|
Goicochea Moreno|Dr. Julio …et al||Roma y los Bárbaros||III|Segunda|||México, D.F|UTEHA|Grandes descubridores y conquistadores||1985|432|Fotos e ilustraciones|
Goicochea Moreno|Dr. Julio …et al||El mundo árabe||IV|Segunda|||México, D.F|UTEHA|Grandes descubridores y conquistadores||1985|576|Fotos e ilustraciones|
Bronislaw|||Crimen y costumbre en la sociedad salvaje|||Tercera||Trad. Por J. y M. T Alier|Barcelona|Ediciones Ariel|||1971|156||
Ernest|||Simbolismo y ciencia|||Primera||Trad. Por Horacio Crespo|Buenos Aires|Ediciones Nueva Visión||1|1972|68||
Marco Antonio|||El agrarismo en México|||Primera|||México|Siglo XXI Editores|||1967|175||
Clara|||Las buenas intenciones|||Primera|||Buenos Aires|Guaraldi Editori|||1974|118||
