Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
||||Los Mayas|||Cuarta|||México, D.F|INI|||1977|2|Fotos y mapa|3 Folletos
||||Los Tzeltales|||Primera|||México, D.F|INI|||1973|2|Fotos y mapa|2 Folletos
||||Los Totonacas|||Primera|||México, D.F|INI||||2|Fotos y mapa|1 Folleto
||||Los Huicholes|||Primera|||México, D.F|INI|||1973|2|Fotos y mapa|1 Folleto
||||Sala de etnografía del Golfo|||Primera|||México|Museo Nacional de Antropología|||1964|2|Fotos y plano|1 Folleto
||||Sala de Introducción a la Antropología|||Primera|||México|Museo Nacional de Antropología|||1964|2|Fotos, ilustraciones y mapa|
Gamio|Manuel|||La población del Valle de Teotihuacán|II||Primera|||México, D.F|INI|||1979||Ilustraciones y Fotos|
Gamio|Manuel|||La población del Valle de Teotihuacán|III||Primera|||México, D.F|INI|||1979||Mapas, fotos e ilustraciones|
Gamio|Manuel|||La población del Valle de Teotihuacán|IV||Primera|||México, D.F|INI|||1979||Mapas, fotos e ilustraciones|
Gamio|Manuel|||La población del Valle de Teotihuacán|V||Primera|||México, D.F|INI|||1979||Mapas, fotos e ilustraciones|
Jenning|H.S|C.A Berger et al||Aspectos científicos del roblema racional|||Primera||Trad. Por Felipe Jiménez de Asúa|Buenos Aires, Argentina.|Editorial Losada|||1946|349||
Harris|Marvin|||Raza y trabajo en América|||Primera||Trad. Por Martin Gerber|Buenos Aires, Argentina.|Ediciones Siglo XX|||1973|173||
Cornejo Cabrera|Ezequiel|||Estudio de Psicología Experimental en algunos grupos indígenas de México|||Primera|||México, D.F|Imprenta Universitaria||6|1953|160|Cuadros|
Boggs|James|||Racismo y lucha de clases|||Primera|||México, D.F|Editorial Nuestro Tiempo|||1971|178||
||||Africa Sociedad|||Primera|||Ciudad de la Habana|Editorial de Ciencias Sociales|||1979|296|Cuadros|
Romney|Kimball|Romaine Romney||The Mixtecans of Juxtlahuaca, México||IV|Primera|||New York, NY.|John Wiley and Sons|||1973|150||
||||American Epic. The story of the American Indian|||Primera|||Toronto, Canadá|New American Library|||1969|207|Fotos|
Spicer|Edward H.|||A short history of the Indians of the United States|||Primera|||New York, NY.|Van Nostrand Reinhold Company|||1969|319||
Seligman|C.G.|||Races of Africa|||Tercera|||London|Oxford University Press|Colección Presencias||1957|236|Mapas|
Tranfo|Luigi|||Vida y magia en un pueblo otomí del Mezquital |||Primera|1990|Trad. Por Alejandra Ma. A. Hernández|México, D.F|INI-CONACULTA|Colección Presencias|11|1974|365|Fotos|
Diskin|Martin|Scott Cook||Mercados de Oaxaca|||Primera|1990|Trad. Por Antonieta S.M de Hope|México, D.F|INI-CONACULTA||12|1974|365|Fotos, cuadros y planos|
|Leyva Solano|Xochitl|Gabriel Ascencio Franco|Lacandonia al filo del agua|||Primera|||México|Fondo de Cultura Económica-CIESAS-CHIMECH-UNICACH|||1996|210|Cuadros y mapas|
||||Centro |||Primera|||México, D.F|INI|||1995|290|Cuadros y fotos|
||||Oriental|||Primera|||México, D.F|INI|||1995|373|Mapas, fotos y cuadros|
||||Occidental |||Primera|||México, D.F|INI|||1994|171|Fotos y mapas|
||||Noroeste|||Primera|||México, D.F|INI|||1995|577|Cuadros y mapas|
Chapman|Anne|||Los hijos del copal y la candela |II||Primera|||México, D.F|UNAM|||1986|237|Fotos|
Galeano|Eduardo|||Las venas abiertas de América Latina|||11|||México, D.F|Editorial Siglo XXI|||1971|426||
Mason|Philip|||Estructuras de la dominación|||Primera||Trad. Por Mónica Hanson|México, D.F|Fondo de Cultura Económica|||1975|469||
De Beer|Z.J|||Sudáfrica y el problema de las razas|||Primera|||Buenos Aires, Argentina.|EUDEBA|||1963|111||
Balwin |James|Le roy Jones||Al encuentro del hombre negro|||Primera|||Madrid|Miguel Castellote||||100||
Melendez|Carlos|Duncan Quince||El negro en Costa Rica|||Segunda|||San José, Costa Rica|Editorial Costa Rica|||1974|225||
||||Testominios Indígenas Yalalag|||Primera|||México, D.F|Equipo Pueblo|||1988|51||
||||El primer soldado llegó a Chamula|||Primera|||San Cristóbal de las Casas, Chiapas.|Secretaría de Educación y Cultura|||1524|33||
Bonfiglioli Ugolini|Carlo|||Fariseos y matachines en la sierra Tarahumara: entre la pasión de Cristo, la trasgresión cómico-sexual y las danzas de conquista|||Primera|||México, D.F|INAH-SEP|||1993|204|Ilustraciones, cuadros y mapa|
