Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas
||||Guinness Enciclopedia de las respuestas|8||Primera|||Madrid, España|Sociedad Comercial y Editorial Santiago Limitada|||1991|78|Fotos e ilustraciones
||||Guinness Enciclopedia de las respuestas|10||Primera|||Madrid, España|Sociedad Comercial y Editorial Santiago Limitada|||1991|79|Ilustraciones
Glass Santana|Ramón Antonio|||¿Esclavo…o qué?|||Primera|||México, D.F|Editorial Plaza y Valdés|||1990|148|Ilustraciones y Cuadros
Mathes|Miguel|Compilador||Baja California|I||Primera|||México, D.F|Instituto de Investigaciones Dr. José María Luis Mora|||1988|448|Cuadros
Serrano|Jorge A.|||La objetividad y las ciencias|||Primera|||México, D.F|Editorial Trillas|||1981|253|
Kaspar|Oldrich|||Los jesuitas checos en la Nueva España|||Primera||Trad. Por Eva Mánková|México, D.F|Universidad Iberoamericana|||1991|129|Fotos
García Ayluardo|Clara|Manuel Ramos Medina |Coordinadores|Manifestaciones religiosas en el mundo americano|||Segunda|||México, D.F|INAH-CONDUMEX-Universidad Iberoamericana|||1997|360|Cuadros
||||Simposio sobre las misiones jesuitas en Bolivia|||Primera|||La Paz, Bolivia|Ministerio de Relaciones Exteriores y Culto|Colección V Centenario||1987|236|Cuadros y mapas
Becker|Howard|Philip Frohlich||Toynbee y la sociología sistemática|||Primera|||México, D.F|El Colegio de México||32|1945|50|
Reyes García |Reyes García|Luis||Documentos nahuas de la ciudad de México del siglo XVI|||Primera|||México, D.F|CIESAS-Archivo General de la Nación-Secretaría de Gobernación|||1996|360|Ilustraciones
Rosales-López|Alfonso|||La antigua California prehispánica:la vida costera en El Conchalito|||Primera|Colección Científica ||México, D.F|INAH|||2000|172|Cuadros
Viramontes Anzures|Carlos|||De chichimecas, pames y jonaces. Los recolectores-cazadores del semidesierto de Querétaro|||Primera|||México, D.F|INAH|||2000|147|Cuadros y fotos
De la Lama |Eréndira|María Elena Landa||Simposium internacional de investigación de Huexotzinco|||Primera|||México, D.F|INAH|||1997|211|Cuadros
||||Leyendas Tarahumaras|||Primera|||México|INI|||1965|36|Ilustraciones
Gamallo Pinel|Rafael||Coordinador|Literatura indígena, ayer y hoy|||Primera|||México|Conaculta-Culturas Populares -Instituto Tamulipeco de Cultura|||1990|223|
Romero|Matias|||Cultivo del café en la costa meridional de Chiapas|||Tercera|||México|Instituto mexicano del café-SARH|||1875|240|
De campo Urbano |Salustiano|||La sociología científica moderna|||Segunda|||Madrid, España|Instituto de Estudios Políticos|Colección Estudios de Sociología ||1965|295|Cuadro
Flores Farfán|José Antonio|Cleofas Ramírez Celestino||Adivinanzas Nahuas de hoy y siempre. See tosaasaanil, see tosaasaanil|||Primera|||México, D.F|Ediciones Corunda|||1995|31|Ilustraciones
Frank |Otto|||Técnicas modernas de documentos e información|||Primera||Trad. Por Amelia Aguado y Hebe Hernando|Buenos Aires, Argentina|EUDEBA|||1964|225|Fotos
Pérez Arce|Francisco|||El principio. 1968-1988: años de rebeldía|||Primera|||México, D.F|Editorial ITACA|||2007|203|
Camara Barbachano|Fernando|||Colonización interna de Yucatán|||Primera|||México|INAH||1|1958|45|Fotos
Baños Ramírez|Othón|||Campesinos y petróleo en Tabasco|||Primera|||México, D.F|El Colegio de México||31|1984|42|Fotos
||||Programación del desarrollo regional|||Primera|||Washington, D.C|UNION PANAMERICANA|||1966|86|Cuadros
Ortega Leite|Octavio|||Datos de la explotación agrícola del valle del Yaqui, Sonora|||Primera|||[Sonora]|[Uniones de Crédito agrícola de el Yaquí y Cajeme|||1961|102|Cuadros, planos y fotos
Salazar Peralta|Ana María|||La participación estatal en la producción y comercialización del café en la región norte del estado de Chiapas|||Primera|||México, D.F|UNAM||84|1988|260|Fotos y cuadros
Menéndez|Iván|||Lucha social y sistema político en Yucatán|||Primera|||México, D.F|Editorial Grijalbo|||1982|250|Cuadros
Poviña|Alfredo|||Sociología del Folklore|||Primera|||Córdoba|ASSANDRI|||1950|34|
Germani |Gino|||La Sociología científica|||Primera|||México, D.F|Universidad Nacional|||1956|154|
Lagunas|David|José Luis Anta|Editores|Vidas al margen. Gente, lugares, cultura en Hidalgo|||Primera|||Jaén, España|Meta4|Colección Estudios|1|2003|159|
Gómez K´ulub|Manuel|Pedro López Ch´ijk et al||Kajwaltik. La ordenanza de la colonia de 1674|||Primera|||San Cristóbal de las casas, Chiapas|INI|||2002|163|Fotos
Radding de Murrieta|Cynthia|Juan José Gracida Romo||Sonora: Una historia compartida|||Primera|||México, D.F|Instituto de Investigaciones Dr. José María Luis Mora|||1989|333|
||||Historia de las formaciones precapitalistas II|||Primera|||La Habana, Cuba|[Ministerio de Educación Superior]|||1962|471|
Asatashvili|Aleksi|Inés Borjón López-Coterilla|Coordinadores|Panorama actual de los derechos humanos de las personas con discapacidad|||Primera|||México|CNDH|||2003|304|
Morris|Brian|||Introducción al estudio antropológico de la región|||Primera|||Buenos Aires, Argentina|Editorial Paidós|||1995|444|Cuadros
Klagsbrunn|Víctor||Compilador|Tijuana, cambio social y migración|||Primera|||Tijuana, B.C|El Colegio de la Frontera|||1988|149|Cuadros
Medina|Andrés|||Tenejapa: familia y tradición en un pueblo tzeltal|||Primera|||Tuxtla Gutiérrez, Chiapas|Gobierno del Estado de Chiapas|||1991|260|Fotos
Stack Sullivan|Harry|||La entrevista psiquiatrica|||Segunda||Trad. Por Federico López Cruz|México, D.F|Editorial Patria|||1992|280|
||||Oscar Lewis: La cultura de la pobreza|||Primera|||Barcelona, España|Editorial Anagrama||||85|
Collier|George A.|||Planos de interacción del mundo tzoltzil|||Primera|1990|Trad. Por Celia Paschero|México, D.F|INI|||1976|297|Cuadros y fotos
Elu|María del Carmen|||La Luz enterrada|||Primera|||México, D.F|Fondo de Cultura Económica|||1993|197|Cuadros
Parker|Cristián|||Otra lógica en América Latina. Religión popular y modernizacion capitalista|||Primera|1996||Santiago, Chile|Fondo de Cultura Económica|||1993|407|Cuadros
Alonso|Jorge|||Pareto|||Primera|||México, D.F|Editorial EDICOL||13|1977|169|
Plejanov|Jorge|||La concepción materialista de la historia/El  arte y la vida social|||Primera|||México, D.F|Ediciones ROCA|||1973|160|
||||Memoria de Zacatecas. La opinión pública y las negociaciones del Tratado de Libre Comercio: Alternativas ciudadanas|||Primera|||México, D.F|Red Mexicana de Acción Frente al Libre Comercio|||1992|248|
Ochoa Zazueta|Jesús Ángel|||Mar de Cárceles|||Primera|||Mexicali, B.C|Instituto de Cultura de Baja California|||1995|130|
Ochoa Zazueta|Jesús Ángel|||Bandera Baja|||Primera|||Mexicali, B.C|Editorial El Correo|||1997|159|
Piaget|Jean|||Investigaciones sobre la generalización|||Primera|||México, D.F|PREMIA Editora|||1984|220|
Adams|Richard N.|Oscar Lewis et al||Social chage in Latin America today: Its imlications for United Stetes policy|||Primera|||New York|Vintage Books|||1960|353|
Parmentier|Bruno|Jorge Labarthe R.||Cooperativas para el cambio social|||Primera|||México, D.F|Editorial EDICOL|||1980|166|Cuadros e ilustraciones
Engels|Federico|||Origen de la familia de la propiedad y del Estado|||Sexta|||Buenos Aires, Argentina|Editorial Claridad|||1957|207|
Maclver|R.M|Charles H. Page||Sociología|||Primera|||Madrid, España|Editorial Tecnos|||1960|717|Cuadros
Piñera Ramírez|David|||Ocupación y uso del suelo en Baja California. De los grupos aborígenes a la urbanización dependiente|||Primera|||México|UNAM-UABC|||1991|221|Cuadro
Messmacher|Miguel|||La búsqueda del signo de Dios|||Primera|||México, D.F|Fondo de Cultura Económica|||1997|418|
Wisdom |Charles|||Los chortis de Guatemala |||Primera|||Guatemala|"Editorial del Ministerio de Educación Pública ""José Pineda Ibarra"""|||1961|541|
Gunder Frank|Andre|||América Latina: subdesarrollo o revolución|||Segunda|||México, D.F|Edciones Era|||1973|357|
Palacios|Marco|||El café en Colombia (1850-1970)|||Primera|||Bogotá, Colombia|Editorial Presencia Ltda.|||1979|429|Cuadros y mapa
González Casanova|Pablo||Coordinador|Historia Política de los campesinos latinoamericanos|||Primera|||México, D.F|Siglo XXI Editores|||1985|220|Cuadros
Medina González|Xochitl|||Histoire mexicaine depuis 1221 jusqu´en 1594|||Primera|||México, D.F|INAH|||1998|129 [40]|Ilustraciones
||||Directorio 2003|||Primera|||[México]|Academia Mexicana de Ciencias|||2003|301|
Giménez López|Enrique||Editor|Expulsión y exilio de los jesuitas españoles|||Primera|||Alicante, España|Universidad de Alicante|||1997|398|Cuadros
Stern|Claudio|||Las migraciones rural-urbanas|||Primera|||México, D.F|El Colegio de México||2|1974|26|
Stavenhagen|Rodolfo|||Clases, Colonialismo y Aculturación|||Primera|||Río de Janeiro, Brasil|América Latina Revista||4|1963|63-104|
Stern|Claudio|Fernando Cortés||Hacia un modelo explicativo de las diferencias interregionales en los volúmenes de migración a la Ciudad de México 1900-1970|||Primera|||México, D.F|El Colegio de México|Cuadernos del CES|24|1979|54|
Curiel |Gustavo||Coordinador|Imaginería Virreinal: memorias de un seminario|||Primera|||México, D.F|UNAM-SEP|||1990|156|Imágenes
Correa de Oliveira|Plinio|||Nobleza y éites tradicionales análogas en las alocuciones de Pío XII al Patriciado y a la Nobleza romana|||Segunda|||Madrid, España|Editorial Fernando III, EL Santo |||1993|327|Fotos e ilustraciones
||||La mujer en las cooperativas Agropecuarias en Nicaragua|||Primera|||[Nicaragua]|CIERA|||1984|167|Cuadros y fotos
Alacala Delgado|Elio|||El agro andino venezolano. El problema migratorio|||Primera|||México|SEP-INAH|||1973|236|
Von Hanffstengel|Renata|Cecilia Tercero|Editoras|México, el exilio bien temperado|||Primera|||México, D.F|Secretaría de Cultura del Estado de Puebla-UNAM-Instituto de Investigaciones Culturales Germano-Mexicanas|||1995|356 [56]|Fotos
