Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad||
Martinez Hernandez |Joel||Analisis comparativo de las dos escuelas que funcionan en la congregacion de Cuatzapotitla perteneciente al municipio de Chicontepec del Estado de Vercaruz.|||Primera|||Mexico|Instituto Nacional Indigenista|Etnolingüística ||1982|113 pp.||||
Pool Jimenez|Genaro||U tsikbalil le ba`ate`el Uuch tu jaàbil 1847, Bey tsikbata`abik Ten Tumen Le Nojoch maako`obo.|||Primera|||Mexico|Instituto Nacional Indigenista|Etnolingüística ||1982|153 pp.||||
Castilla Urbina |Miguel de||Para estudiar el subdesarrollo|||Primera|||Costa Rica|Universitaria Centroamericana|||1980|180 pp.||||
Mauro Marini|Ruy||Subdesarrollo y revolucion.|||Primera|||Mexico|Grafica Panamericana.|||1969|162 pp.||||
Casiano Franco|Vicente Paulino||Analisis sintactico del mixteco de Coatzoquitengo, Gro.|||Primera|||Mexico|Instituto Nacional Indigenista|Etnolingüística ||1982|268 pp.||||
Reimut Reiche|Peter Gang||Modelos de la revolucion colonial.|||Primera||Trad. por Carlos Gerhard|Mexico|Siglo XXI Editores.|||1970|222 pp.||||
Baez|Rene||Teorias sobre el subdesarrollo.|||Primera|||Mexico|Editorial Diogenes.|||1975|107 pp.||||
Cante y Canul|Gamaliel||La situacion actual del ejidatario Henequenero maya de X - tep`en, Yucatan.|||Primera|||Mexico|Instituto Nacional Indigenista|Etnolingüística ||1982|269 pp.||||
Elizondo|Salvador||Contextos|||Primera|||Mexico.|Secretaría de Educación Pública|||1973|191 pp.||||
Vara|Armida de la||La creciente|||Primera|||Mexico||||1979|107 pp.||||
Nelken|Margarita||Escultura Mexicana Contemporanea|II||Primera|||Mexico|Ediciones Mexicanas.|||1951|39 pp.||||
Barcenas Lopez|Francisco||Autonomia y derechos indigenas en Mexico.|||Primera|||Mexico||||2000|107 pp.||||
Matias Alonso|Marcos.|Constantino Medina Lima|Vocabulario nahuatl - español, de Acatlan, Guerrero.|||Primera|||Mexico|Plaza y Valdes.|||2003|85 pp.||||
Chenaut|Victoria||Migrantes y aventureros en la frontera sur.|||Primera|||Mexico|Secretaría de Educación Pública|||1989|113 pp.||||
Schifter|Isaac||La ciencia del caos|||Primera|||Mexico.|Fondo de Cultura Económica|La ciencia para todos||2001|106 pp.||||
Lapointe|Marie||Los mayas rebeldes de Yuactan.|||Primera|||Mexico.|Maldonado.|||1983|258 pp.||||
Palerm|Angel||Historia de la etnologia: los evolucionistas|||Primera|||Mexico|La casa chata.|Sep Inah||1976|214 pp.||||
Palerm|Angel||Historia de la etnologia: los percusores.|||Primera|||Mexico|La casa chata.|Sep Inah||1973|319 pp.||||
Robichaux|David||Familia y parentesco en Mexico y mesoamerica.|||Primera|||Mexico|Universidad Iberoamericana.|||2005|565 pp.||||
|El Colegio de Mexico.||Guia internacional de investigadores sobre Mexico.|||Primera|||Estados Unidos.|El Colegio de l frontera norte|||1989|335 pp.||||
Muñoz Camargo|Diego||Historia de Tlaxcala|||Primera|||España|Dastin||||283 pp.||||
Velazquez Ehtel Correa|Maria||Poblaciones y culturas de origen africano en Mexico|||Primera|||Mexico|Instituto Nacional de Antropologia e Historia.|||2005|454 pp.||||
