Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Graziani|Giovanni||América latina, imperialismo y subdesarrollo|||3a.|||México|Editorial Diógenes|||1979|70 pp.||
Dunbar Ortiz|Roxanne||La cuestión miskita en la revolución nicaragüense|||Primera|||México|Editorial Línea|Primera línea||1986|196 pp.||
Cardoso|Fernando Henrique|Enzo Faletto|Dependencia y desarrollo en américa latina|||15a.|||México|Siglo XXI|||1979|213 pp.||
VV.AA.|||Relatos nahuas. Nahua zazanilli.|||Primera|||México|Consejo Nacional para la Cultura y las Artes|Lenguas de México|19|1997|85 pp.|Ilus|
Millán|Saúl||La ceremonia perpetua|||Primera|||México|Instituto Nacional Indigenista|Fiestas de los pueblos indígenas||1993|290 pp.|Mps|
Pavia Guzmán|Edgar||Machomula. Población negra en Guerrero.|||2a.|||México|Edgar Pavia Guzmán|||1998|39 pp.||
Villalobos|Violeta Arana||Mun-ha. Monografía y síntesis histórica del pueblo de Muna|||Primera|||México|Violeta Arana Villalobos|||2004|255 pp.|Ilus - Fts - Cuad - Mps|
Kirk|Carlos R.||Haciendas en Yucatán|||Primera|||México|Instituto Nacional Indigenista|INI|6|1982|301 pp.|Ilus - Fts - Cuad - Mps|
Balandier|Georges||El desorden. La teoría del caos y las ciencias sociales. Elogio de la fecundidad del movimiento.|||Primera|2a.|Trad. por Beatriz López|Barcelona|Editorial Gedisa|Cla.De.Ma||1996|237 pp.||
Llobera|José Ramón|Claude Lévi-Strauss|Las sociedades primitivas|||Primera|||Barcelona|Salvat Editores - Editions Grammont|||1973|140 pp.|Fts|
Boas|Franz||Anthropology and modern life|||Primera|||Estados Unidos|W.W. Norton & Company|The Norton Library||1962|255 pp.||
Warman|Arturo|Arturo Argueta|Movimientos indígenas|||Primera|||México|Centro de Investigaciones Interdisciplinarias en Humanidades UNAM - Miguel Ángel Porrúa|México: actualidad y perspectivas||1993|239 pp.||
Breton|Alain||Bachajón. Organización socioterritorial de una comunidad tzeltal|||Primera|||México|Instituto Nacional Indigenista|INI|68|1984|286 pp.|Ilus - Cuad - Mps|
Ribeiro|Darcy||El proceso civilizatorio|||Primera||Trad. por Julio Rossiello|Venezuela|Universidad Central de Venezuela|||1970|196 pp.|Ilus - Cuad|
Malinowski|Bronislaw||A scientific theory of culture and other essays|||Primera|3a.||New York|Oxford University Press|Galaxy books||1960|228 pp.||
Firth|R.|et. al.|Hombre y cultura. La obra de Bronislaw Malinowski|||Primera||Trad. por Ramón Valdés del Toro|Madrid|Siglo XXI de España|||1974|339 pp.||
Comas d'Argemir|Dolors|Joan Josep Pujadas|Andorra, un país de frontera|||Primera|||Barcelona|Alta Fulla - Govern d'Andorra Ministeri d'Afers Socials i Cultura|Arxiu d'etnografia d'Andorra|1|1997|201 pp.|Fts - Cuad|
Pérez Taylor|Rafael|et. al.|Aprender-comprender la antropología|||Primera|||México|Compañía Editorial Continental|||2000|399 pp.|Ilus - Fts|
Nahmad|Salomón|et. al.|Medio ambiente y tecnologías indígenas en el sur de Oaxaca|||Primera|||México|Centro de Ecología y Desarrollo|||1994|171 pp.|Cuad - Mps|
Bock|Philip K.||Introducción a la moderna antropología cultural|||Primera|Primera|Trad. Por Carmen González de Chuaqui|México|Fondo de Cultura Económica|Obras de antropología||1985|584 pp.|Fts - Cuad|
Fortuny Loret de Mola|Patricia||Religión y sociedad en el sureste de México||5|Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|Ediciones de la Casa Chata|165|1989|120 pp.|Fts - Cuad - Mps|
Espinosa Ortega|Alicia|Iván Vallado Fajardo|Religión y sociedad en el sureste de México||6|Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|Ediciones de la Casa Chata|164|1989|229 pp.|Mps|
Félix Baez|Jorge|et. al.|Cuando ardió el cielo y se quemó la tierra|||Primera|||México|Instituto Nacional Indigenista|INI|14|1985|309 pp.|Fts - Ciad - Mps|
Beattie|John||Other cultures. Aims, methods and achievements in social anthropology|||Primera|||Gran Bretaña|Cohen & West|||1964|283 pp.||
Carrasco|Pedro||Tarascan folk region, christian or pagan?||||||Estados Unidos|University of California Latin American Center|||1970|15 pp.||
Maler|Teober||Sobre el estado de Chiapas|||Primera|||México|CONACYT - Instituto de Investigaciones Filosóficas - UNAM|Con/Textos|1|2006|68 pp.|Fts|
Gómez Hernández|Antonio|et. al.|Ja slo'il ja kaltziltikoni'. Palabras de nuestro corazón. Mitos, fábulas y cuentos maravillosos de la narrativa tojolobal.||||||México|Universidad Nacional Autónoma de México - Universidad Autónoma de Chiapas|Literatura indígena bilingüe|3|1999|500 pp.|Mps|
Prieto Hernández|Diego|Beatriz Utrilla Sarmiento|Ya hnini ya jä'ito Maxei. Los pueblos indios de Querétaro.|||Primera|||México|Consejo Nacional para el Desarrollo de los Pueblos Indígenas|Antropología social||2006|325 pp.|Ilus - Fts - Cuad - Mps|
Ramos Ramírez|José Luis|Janeth Martínez Martínez|Diversas miradas sobre el juego|||Primera|||México|José Luis Ramos Ramírez - Janeth Martínez Martínez|||2000|172 pp.|Ilus - Cuad|
Ramos Ramírez|José Luis||Una familia en la mixteca oaxaqueña|||Primera|||México|Consejo Nacional para la Cultura y las Artes - Instituto Nacional de Antropología e Historia - Instituto Oaxaqueño de las Culturas|||1999|100 pp.|Fts|
Argüello Zepeda|Francisco|José Luis de la Cruz Rock|La privatización de la industria azucarera mexicana y su impacto social|||Primera|||México|Universidad Autónoma de Tamaulipas - Consejo Tamaulipeco de Ciencia y Tecnología|||1998|116 pp.|Cuad - Mps|
Leyva|Xochitl||Poder y desarrollo regional. Puruándiro en el contexto norte de Michoacán|||Primera|||México|El Colegio de Michoacán - Centro de Investigaciones y Estudios Superiores en Antropología Social|||1993|325 pp.|Cuad - Mps|
Aguirre Baztán|Ángel||Historia de la antropología española|||Primera|||Barcelona|Editorial Boixareu Universitaria|Historia de la Antropología Española|1|1992|476 pp.|Fts|
Castro Domingo|Pablo||Chayotes, burros y machetes|||Primera|||México|El Colegio Mexiquense|||2003|488 pp.|Fts - Cuad|
Murdock|George P.|et. al.|Guía para la clasificación de los datos culturales|||Primera|4a.|Trad. Por el Instituto Indigenista Nacional de Guatemala y la Unión Panamericana|Washington, D.C.|Unión Panamericana|Manuales técnicos|9|1966|295 pp.||
Fournier García|Patricia||Los hñähñü del Valle del Mezquital: maguey, pulque y alfarería|||Primera|||México|Consejo Nacional para la Cultura y las Artes - Instituto Nacional de Antropología e Historia - Escuela Nacional de Antropología e Historia|||2007|529 pp.|Ilus - Fts - Cuad - Mps|
Márquez Morfín|Lourdes|Patricia Hernández Espinoza|Salud y sociedad|||Primera|||México|Consejo Nacional para la Cultura y las Artes - Instituto Nacional de Antropología e Historia - Escuela Nacional de Antropología e Historia|||2006|439 pp.|Cuad|
Thompson|J. Eric S.||Historia y religión de los mayas|||10a.||Trad. por Félix Blanco|México|Siglo XXI|América nuestra: américa antigua|7|1997|485 pp.|Ilus - Fts - Mps|
Yanes|Pablo|et. al.|Urbi indiano, la larga marcha a la ciudad diversa|||Primera|||México|Universidad Autónoma de la Ciudad de México|La ciudad||2005|413 pp.|Mps|
Gobierno del Distrito Federal|||BaBel. Ciudad de México. Memoria de los encuentros sobre presencia indígena en la ciudad de México||13|Primera|||México|Gobierno del Distrito Federal|||2000|204 pp.|Ilus - Fts|
Dow|James W.|Alan R. Sandstrom|Holy saints and fiery preachers. The anthropology of protestantism in Mexico and central america|||Primera|||Estados Unidos|Praeger Publishers|Religion in the age of transformation||2001|298 pp.|Cuad - Mps|
VV.AA.|||Guía de campo del investigador social|III||Primera|||Washington, D.C.|Unión Panamericana|Manuales técnicos||1956|101 pp.||
VV.AA.|||Guía de campo del investigador social|IV||Primera|||Washington, D.C.|Unión Panamericana|Manuales técnicos||1957|185 pp.||
VV.AA.|||Guía de campo del investigador social|V||Primera|||Washington, D.C.|Unión Panamericana|Manuales técnicos||1960|267 pp.|Ilus|
Stavenhagen|Rodolfo|Margarita Nolasco|Política cultural para un país multiétnico|||Primera|||México|Secretaría de Educación Pública|||1988|276 pp.|Cuad|
Instituto Nacional de Antropología e Historia|||Comunidad, cultura y vida social: ensayos sobre la formación de la clase obrera|||Primera|||México|Instituto Nacional de Antropología e Historia|Divulgación||1991|349 pp.|Cuad - Mps|
